
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
22.0625,,Surface,3,Image 1,1,Class B,0,
19.0625,,Surface,3,Image 1,1,Class B,1,
16.0625,,Surface,3,Image 1,1,Class B,2,
30.0625,,Surface,3,Image 1,1,Class B,3,
30.0625,,Surface,3,Image 1,1,Class B,4,
28.0625,,Surface,3,Image 1,1,Class B,5,
