
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
30.9185,,Surface,3,Image 1,1,Class B,0,
24.1806,,Surface,3,Image 1,1,Class B,1,
25.6191,,Surface,3,Image 1,1,Class B,2,
35.8305,,Surface,3,Image 1,1,Class B,3,
35.7368,,Surface,3,Image 1,1,Class B,4,
37.9449,,Surface,3,Image 1,1,Class B,5,
