
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,ID,
-18052.8,15662.5,1495.6,µm,Surface,Position,1,Class B,0,
-18060.6,15650.2,1494.48,µm,Surface,Position,1,Class B,1,
-18074,15659.2,1494.88,µm,Surface,Position,1,Class B,2,
-18064.1,15632.1,1495.65,µm,Surface,Position,1,Class B,3,
-18088.6,15664.9,1495.31,µm,Surface,Position,1,Class B,4,
-18085.9,15620.7,1495.36,µm,Surface,Position,1,Class B,5,
