
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,Set 1,ID,
0.23872,,Surface,1,Class B,0,
0.0886603,,Surface,1,Class B,1,
0.351684,,Surface,1,Class B,2,
0.752357,,Surface,1,Class B,3,
0.456843,,Surface,1,Class B,4,
0.247966,,Surface,1,Class B,5,
