
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
1.21715,µm,Soma,1,100000000,800000000,
1.11214,µm,Soma,1,100000001,800000001,
0.989263,µm,Soma,1,100000002,800000002,
