
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.00166878,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000002079,
0.00250323,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002080,
0.00898708,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002081,
0.001695,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002082,
0.00123203,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000002083,
0.0175529,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002084,
0.00704438,µm^3,Spine,Spine Part Volume,3,1,1,100000002,610000002085,
0.00531216,µm^3,Spine,Spine Part Volume,3,1,1,100000002,610000002086,
0.0065824,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000002087,
0.00112339,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000002088,
0.00379142,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000002089,
0.00333697,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000002090,
0.0189025,µm^3,Spine,Spine Part Volume,3,2,1,100000002,610000002093,
0.0258353,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000002094,
0.0315113,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000002095,
0.00284519,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000002096,
0.0408186,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000002097,
0.00202125,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000002102,
