
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,0,1,1,100000000,610000001876,
1,,Spine,0,1,1,100000001,610000001885,
1,,Spine,4,2,1,100000000,610000001887,
1,,Spine,8,5,1,100000000,610000001895,
1,,Spine,1,1,1,100000000,610000001898,
1,,Spine,2,1,1,100000002,610000001908,
1,,Spine,0,1,1,100000002,610000001911,
1,,Spine,3,1,1,100000002,610000001914,
1,,Spine,3,2,1,100000002,610000001916,
1,,Spine,2,1,1,100000001,610000001925,
1,,Spine,0,1,1,100000000,610000001934,
1,,Spine,1,2,1,100000002,610000001952,
1,,Spine,2,1,1,100000002,610000001958,
1,,Spine,3,1,1,100000002,610000001965,
1,,Spine,1,1,1,100000000,610000001975,
1,,Spine,0,1,1,100000000,610000001993,
1,,Spine,0,1,1,100000001,610000001997,
1,,Spine,0,1,1,,610000002108,
1,,Spine,2,2,1,,610000002108,
1,,Spine,1,2,1,,610000002109,
1,,Spine,0,1,1,,610000002109,
1,,Spine,4,2,1,,610000002109,
1,,Spine,3,3,1,,610000002110,
1,,Spine,1,2,1,,610000002110,
1,,Spine,0,1,1,,610000002110,
1,,Spine,7,3,1,,610000002111,
1,,Spine,2,1,1,,610000002111,
1,,Spine,1,2,1,,610000002112,
1,,Spine,7,3,1,,610000002112,
1,,Spine,3,1,1,,610000002112,
1,,Spine,1,2,1,,610000002113,
1,,Spine,7,3,1,,610000002113,
1,,Spine,3,1,1,,610000002113,
1,,Spine,1,2,1,,610000002114,
1,,Spine,0,1,1,,610000002114,
1,,Spine,2,2,1,,610000002114,
1,,Spine,0,1,1,,610000002115,
1,,Spine,2,1,1,,610000002115,
1,,Spine,0,1,1,,610000002116,
1,,Spine,3,1,1,,610000002116,
1,,Spine,2,1,1,,610000002117,
1,,Spine,4,2,1,,610000002117,
1,,Spine,2,2,1,,610000002118,
1,,Spine,4,2,1,,610000002118,
1,,Spine,3,2,1,,610000002119,
1,,Spine,4,2,1,,610000002119,
1,,Spine,0,1,1,,610000002120,
1,,Spine,0,1,1,,610000002121,
1,,Spine,1,1,1,,610000002122,
1,,Spine,1,2,1,,610000002123,
