
Spine Part Min Diameter Neck
 ==================== 
Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.50192,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001873,
0.244266,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001876,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001880,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001883,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001885,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000001887,
0.410831,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001893,
0,µm,Spine,Spine Part Min Diameter,8,5,1,100000000,610000001895,
0.453797,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001898,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001903,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001906,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001908,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001911,
0.315084,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001914,
0,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001916,
0.233594,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000001919,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001922,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000001925,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001931,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001934,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000001936,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001939,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001941,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001947,
0,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001949,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000001952,
0.258984,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001956,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001958,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001965,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001970,
0.24375,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001975,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001978,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001983,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001985,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001989,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001991,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001993,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001997,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001999,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002002,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002004,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002008,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002010,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002014,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002016,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002024,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002039,
0,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002050,
0,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002051,
0,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002052,
0,µm,Spine,Spine Part Min Diameter,3,3,1,100000000,610000002053,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002054,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000002055,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000002057,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002058,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002067,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002068,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002071,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002072,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002073,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002074,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000002075,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000002076,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002078,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002079,
