
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.451839,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001873,
0.368922,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001876,
0.39652,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000001880,
0.344043,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001883,
0.233695,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000001885,
0.385955,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000001887,
0.357604,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000001893,
0.25846,µm,Spine,Spine Part Mean Diameter,8,5,1,100000000,610000001895,
0.450125,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000001898,
0.220082,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000001903,
0.199043,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000001906,
0.289882,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000001908,
0.449229,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000001911,
0.437237,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000001914,
0.316053,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000001916,
0.367379,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000001919,
0.256369,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001922,
0.344151,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000001925,
0.307089,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001931,
0.22296,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001934,
0.312722,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000001936,
0.278027,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001939,
0.395292,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000001941,
