
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
26207.7,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000001876,
26195.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000001,610000001885,
26213.7,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000000,610000001887,
26195.6,µm,Spine,Spine Attachment Pt Distance from Origin,8,5,1,100000000,610000001895,
26207.7,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000001898,
26190.8,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000002,610000001908,
26186.9,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000001911,
26184.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000001914,
26188.3,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000002,610000001916,
26193.6,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000001,610000001925,
26210,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000001934,
26188.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000002,610000001952,
26191.9,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000002,610000001958,
26184.4,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000001965,
26207.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000001975,
26207.8,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000001993,
26197.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000001,610000001997,
26195.2,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002108,
26204.2,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000002108,
26187.8,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002109,
26195,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002109,
26201.3,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,,610000002109,
26202.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,,610000002110,
26187,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002110,
26195.2,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002110,
26198.4,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,,610000002111,
26185.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000002111,
26195.2,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002112,
26198.4,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,,610000002112,
26184.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,,610000002112,
26196.6,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002113,
26199.1,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,,610000002113,
26184.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,,610000002113,
26211.3,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002114,
26198.2,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002114,
26192.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000002114,
26187.7,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002115,
26212.7,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000002115,
26187.8,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002116,
26213.1,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,,610000002116,
26188.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000002117,
26213.4,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,,610000002117,
26188.1,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000002118,
26213.4,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,,610000002118,
26188.3,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,,610000002119,
26213.3,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,,610000002119,
26210.1,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002120,
26210.2,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000002121,
26207.7,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,,610000002122,
26208.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000002123,
