
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1466.61,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.55,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.61,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.68,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.68,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.15,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1466.41,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1466.14,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1466.34,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1466.28,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1465.69,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.49,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.69,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.71,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.71,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
