
Segment Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7.05317,,Segment,2,11,Image 1,5,1,100000000,510000000020,
2.21917,,Segment,2,10,Image 1,5,1,100000000,510000000027,
1.62137,,Segment,2,9,Image 1,5,1,100000000,510000000029,
1.39094,,Segment,2,8,Image 1,4,1,100000000,510000000063,
2.99922,,Segment,2,7,Image 1,4,1,100000000,510000000098,
8.99876,,Segment,2,6,Image 1,3,1,100000000,510000000126,
6.95242,,Segment,2,5,Image 1,3,1,100000000,510000000149,
3.66751,,Segment,2,4,Image 1,3,1,100000000,510000000176,
3.782,,Segment,2,3,Image 1,3,1,100000000,510000000188,
2.65854,,Segment,2,2,Image 1,2,1,100000000,510000000199,
3.10073,,Segment,2,1,Image 1,2,1,100000000,510000000202,
2.20367,,Segment,2,0,Image 1,1,1,100000000,510000000230,
1.81886,,Segment,2,11,Image 1,6,1,100000000,510000000254,
1.69527,,Segment,2,10,Image 1,6,1,100000000,510000000265,
1.31852,,Segment,2,9,Image 1,4,1,100000000,510000000267,
9.48756,,Segment,2,8,Image 1,5,1,100000000,510000000294,
12.7577,,Segment,2,3,Image 1,1,1,100000000,510000000326,
23.3759,,Segment,2,2,Image 1,1,1,100000000,510000000335,
3.41535,,Segment,2,1,Image 1,1,1,100000000,510000000352,
1.17156,,Segment,2,0,Image 1,1,1,100000000,510000000368,
27.9591,,Segment,2,3,Image 1,2,1,100000000,510000000383,
21.4264,,Segment,2,2,Image 1,2,1,100000000,510000000391,
1.43266,,Segment,2,1,Image 1,2,1,100000000,510000000397,
7.22177,,Segment,2,8,Image 1,4,1,100000000,510000000410,
6.39841,,Segment,2,7,Image 1,3,1,100000000,510000000450,
7.53174,,Segment,2,8,Image 1,3,1,100000000,510000000455,
40.1996,,Segment,2,6,Image 1,4,1,100000000,510000000460,
1.44054,,Segment,2,5,Image 1,4,1,100000000,510000000464,
4.12094,,Segment,2,4,Image 1,4,1,100000000,510000000469,
6.51213,,Segment,2,4,Image 1,2,1,100000000,510000000517,
1.29136,,Segment,2,3,Image 1,2,1,100000000,510000000542,
1.42492,,Segment,2,4,Image 1,3,1,100000000,510000000545,
8.30873,,Segment,2,4,Image 1,2,1,100000002,510000000559,
17.2216,,Segment,2,3,Image 1,1,1,100000002,510000000591,
17.7514,,Segment,2,2,Image 1,1,1,100000002,510000000604,
15.8352,,Segment,2,1,Image 1,1,1,100000002,510000000624,
4.86647,,Segment,2,0,Image 1,1,1,100000002,510000000642,
9.75411,,Segment,2,4,Image 1,1,1,100000002,510000000678,
23.3217,,Segment,2,3,Image 1,2,1,100000002,510000000683,
2.91601,,Segment,2,1,Image 1,2,1,100000002,510000000701,
47.8948,,Segment,2,2,Image 1,2,1,100000002,510000000703,
2.58473,,Segment,2,5,Image 1,3,1,100000000,510000000706,
2.6706,,Segment,2,4,Image 1,2,1,100000000,510000000714,
1.45848,,Segment,2,3,Image 1,1,1,100000000,510000000721,
1.77525,,Segment,2,2,Image 1,1,1,100000000,510000000744,
1.60399,,Segment,2,1,Image 1,1,1,100000000,510000000746,
1.44103,,Segment,2,0,Image 1,1,1,100000000,510000000767,
24.4043,,Segment,2,5,Image 1,2,1,100000000,510000000782,
1.74539,,Segment,2,5,Image 1,1,1,100000000,510000000796,
1.50814,,Segment,2,5,Image 1,2,1,100000000,510000000799,
1.82806,,Segment,2,4,Image 1,2,1,100000000,510000000804,
1.65022,,Segment,2,2,Image 1,2,1,100000000,510000000820,
5.60561,,Segment,2,1,Image 1,2,1,100000000,510000000825,
3.9339,,Segment,2,2,Image 1,1,1,100000001,510000000865,
