
Spine Time Index
 ==================== 
Spine Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,2,2,1,100000000,610000003852,
1,,Spine,5,3,1,100000002,610000003859,
1,,Spine,5,3,1,100000002,610000003866,
1,,Spine,5,3,1,100000002,610000003872,
1,,Spine,1,2,1,100000002,610000003878,
1,,Spine,7,5,1,100000000,610000003882,
1,,Spine,2,2,1,100000002,610000003886,
1,,Spine,0,1,1,100000000,610000003912,
1,,Spine,5,3,1,100000000,610000003914,
1,,Spine,5,3,1,100000002,610000003925,
1,,Spine,3,3,1,100000000,610000003929,
1,,Spine,1,1,1,100000000,610000003931,
1,,Spine,1,2,1,100000002,610000003936,
1,,Spine,3,2,1,100000002,610000003938,
1,,Spine,2,1,1,100000001,610000003942,
1,,Spine,0,1,1,100000000,610000003960,
1,,Spine,0,1,1,100000003,610000003967,
1,,Spine,5,3,1,100000002,610000003975,
1,,Spine,5,3,1,100000002,610000003984,
1,,Spine,0,1,1,100000000,610000003994,
1,,Spine,4,2,1,100000003,610000003996,
1,,Spine,2,3,1,100000001,610000003999,
1,,Spine,0,1,1,100000000,610000004014,
1,,Spine,4,1,1,100000003,610000004017,
1,,Spine,4,1,1,100000000,610000004021,
1,,Spine,2,2,1,100000002,610000004024,
1,,Spine,3,2,1,100000000,610000004026,
1,,Spine,0,1,1,100000003,610000004028,
1,,Spine,1,2,1,100000002,610000004032,
1,,Spine,0,1,1,100000000,610000004043,
1,,Spine,4,2,1,100000001,610000004046,
1,,Spine,2,2,1,100000000,610000004050,
1,,Spine,0,1,1,100000003,610000004053,
1,,Spine,0,1,1,100000000,610000004062,
1,,Spine,3,2,1,100000000,610000004065,
1,,Spine,4,1,1,100000003,610000004067,
1,,Spine,0,1,1,100000001,610000004072,
1,,Spine,3,3,1,100000000,610000004074,
1,,Spine,5,2,1,100000002,610000004077,
1,,Spine,0,1,1,100000000,610000004089,
1,,Spine,0,1,1,100000003,610000004093,
1,,Spine,6,3,1,100000001,610000004095,
1,,Spine,2,1,1,100000001,610000004098,
1,,Spine,5,3,1,100000002,610000004105,
1,,Spine,2,1,1,100000001,610000004107,
1,,Spine,0,1,1,100000003,610000004112,
1,,Spine,0,1,1,100000003,610000004119,
1,,Spine,1,2,1,100000001,610000004121,
1,,Spine,0,1,1,100000002,610000004124,
1,,Spine,0,1,1,100000000,610000004132,
1,,Spine,3,1,1,100000000,610000004135,
1,,Spine,3,1,1,100000003,610000004137,
1,,Spine,0,1,1,100000001,610000004140,
1,,Spine,5,3,1,100000002,610000004145,
1,,Spine,0,1,1,100000000,610000004149,
1,,Spine,0,1,1,100000001,610000004151,
1,,Spine,0,1,1,100000000,610000004155,
1,,Spine,0,1,1,100000000,610000004163,
1,,Spine,0,1,1,100000000,610000004167,
1,,Spine,0,1,1,100000001,610000004170,
1,,Spine,0,1,1,100000003,610000004173,
1,,Spine,3,3,1,100000000,610000004176,
1,,Spine,5,2,1,100000002,610000004178,
1,,Spine,5,3,1,100000002,610000004184,
1,,Spine,1,2,1,100000002,610000004186,
1,,Spine,2,2,1,100000000,610000004189,
1,,Spine,0,1,1,100000000,610000004192,
1,,Spine,0,1,1,100000000,610000004198,
1,,Spine,5,3,1,100000002,610000004205,
1,,Spine,0,1,1,100000003,610000004207,
1,,Spine,0,1,1,100000002,610000004209,
1,,Spine,0,1,1,100000003,610000004212,
1,,Spine,6,3,1,100000001,610000004214,
1,,Spine,0,1,1,100000001,610000004216,
1,,Spine,0,1,1,100000003,610000004219,
1,,Spine,1,2,1,100000002,610000004221,
1,,Spine,0,1,1,100000003,610000004225,
1,,Spine,4,2,1,100000001,610000004228,
1,,Spine,0,1,1,100000000,610000004235,
1,,Spine,2,2,1,100000000,610000004238,
1,,Spine,5,1,1,100000002,610000004242,
1,,Spine,0,1,1,100000000,610000004244,
1,,Spine,5,3,1,100000002,610000004247,
1,,Spine,0,1,1,100000003,610000004249,
1,,Spine,5,3,1,100000002,610000004254,
1,,Spine,0,1,1,100000001,610000004256,
1,,Spine,0,1,1,100000003,610000004259,
1,,Spine,5,3,1,100000002,610000004263,
1,,Spine,0,1,1,100000001,610000004265,
1,,Spine,4,2,1,100000001,610000004268,
1,,Spine,5,3,1,100000002,610000004271,
1,,Spine,0,1,1,100000003,610000004274,
1,,Spine,0,1,1,100000000,610000004277,
1,,Spine,0,1,1,100000000,610000004281,
1,,Spine,0,1,1,100000001,610000004284,
1,,Spine,0,1,1,100000000,610000004289,
1,,Spine,1,2,1,100000002,610000004291,
1,,Spine,0,1,1,100000001,610000004293,
1,,Spine,0,1,1,100000001,610000004295,
1,,Spine,0,1,1,100000000,610000004297,
1,,Spine,0,1,1,100000000,610000004301,
1,,Spine,5,3,1,100000002,610000004305,
1,,Spine,0,1,1,100000000,610000004307,
1,,Spine,0,1,1,100000001,610000004309,
1,,Spine,0,1,1,100000003,610000004313,
1,,Spine,0,1,1,100000000,610000004318,
1,,Spine,0,1,1,100000001,610000004320,
1,,Spine,0,1,1,100000001,610000004323,
1,,Spine,0,1,1,100000000,610000004326,
1,,Spine,5,3,1,100000002,610000004331,
1,,Spine,0,1,1,100000000,610000004337,
1,,Spine,0,1,1,100000000,610000004342,
1,,Spine,0,1,1,100000000,610000004345,
1,,Spine,0,1,1,100000003,610000004348,
1,,Spine,5,3,1,100000002,610000004351,
1,,Spine,5,3,1,100000002,610000004355,
1,,Spine,0,1,1,100000000,610000004362,
1,,Spine,5,3,1,100000002,610000004367,
1,,Spine,7,4,1,100000000,610000004369,
1,,Spine,0,1,1,100000003,610000004371,
1,,Spine,0,1,1,100000000,610000004376,
1,,Spine,1,1,1,100000001,610000004389,
1,,Spine,0,1,1,100000000,610000004391,
1,,Spine,2,2,1,100000000,610000004396,
1,,Spine,5,3,1,100000002,610000004401,
1,,Spine,0,1,1,100000000,610000004408,
1,,Spine,7,4,1,100000000,610000004424,
1,,Spine,4,3,1,100000000,610000004425,
1,,Spine,1,2,1,100000000,610000004426,
1,,Spine,1,2,1,100000000,610000004427,
1,,Spine,4,3,1,100000000,610000004431,
1,,Spine,4,3,1,100000000,610000004432,
1,,Spine,4,3,1,100000000,610000004433,
1,,Spine,3,2,1,100000000,610000004434,
1,,Spine,3,3,1,100000000,610000004435,
1,,Spine,3,1,1,100000000,610000004436,
1,,Spine,3,2,1,100000000,610000004437,
1,,Spine,3,2,1,100000000,610000004438,
1,,Spine,0,1,1,100000000,610000004439,
1,,Spine,0,1,1,100000000,610000004440,
1,,Spine,4,1,1,100000001,610000004442,
1,,Spine,4,2,1,100000001,610000004443,
1,,Spine,4,2,1,100000001,610000004444,
1,,Spine,2,1,1,100000001,610000004445,
1,,Spine,2,2,1,100000001,610000004446,
1,,Spine,6,3,1,100000001,610000004447,
1,,Spine,6,3,1,100000001,610000004448,
1,,Spine,6,4,1,100000001,610000004449,
1,,Spine,3,2,1,100000001,610000004450,
1,,Spine,1,2,1,100000001,610000004451,
1,,Spine,1,2,1,100000001,610000004452,
1,,Spine,2,2,1,100000001,610000004453,
1,,Spine,0,1,1,100000001,610000004454,
1,,Spine,0,1,1,100000001,610000004460,
1,,Spine,2,2,1,100000002,610000004462,
1,,Spine,2,2,1,100000002,610000004463,
1,,Spine,2,2,1,100000002,610000004464,
1,,Spine,2,2,1,100000002,610000004465,
1,,Spine,1,2,1,100000002,610000004466,
1,,Spine,5,3,1,100000002,610000004470,
1,,Spine,5,3,1,100000002,610000004471,
