
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
109.198,°,Segment,7,5,1,100000000,510000000027,
46.8087,°,Segment,6,4,1,100000000,510000000054,
68.0625,°,Segment,5,3,1,100000000,510000000091,
42.1998,°,Segment,4,2,1,100000000,510000000103,
39.7472,°,Segment,3,1,1,100000000,510000000121,
48.8212,°,Segment,2,1,1,100000000,510000000134,
9.66341,°,Segment,1,1,1,100000000,510000000159,
0,°,Segment,0,1,1,100000000,510000000199,
57.4136,°,Segment,7,4,1,100000000,510000000286,
37.6157,°,Segment,4,3,1,100000000,510000000347,
11.5598,°,Segment,3,2,1,100000000,510000000404,
50.4428,°,Segment,2,2,1,100000000,510000000422,
38.7506,°,Segment,1,1,1,100000000,510000000429,
0,°,Segment,0,1,1,100000000,510000000455,
40.5445,°,Segment,4,2,1,100000000,510000000462,
0,°,Segment,0,1,1,100000000,510000000602,
8.64032,°,Segment,2,2,1,100000002,510000000670,
13.5631,°,Segment,1,1,1,100000002,510000000703,
0,°,Segment,0,1,1,100000002,510000000741,
126.172,°,Segment,4,2,1,100000003,510000000792,
65.6305,°,Segment,3,1,1,100000003,510000000809,
41.4601,°,Segment,2,1,1,100000003,510000000833,
29.5958,°,Segment,1,1,1,100000003,510000000846,
0,°,Segment,0,1,1,100000003,510000000876,
59.4756,°,Segment,4,1,1,100000001,510000001009,
33.8444,°,Segment,3,1,1,100000001,510000001031,
33.6019,°,Segment,2,1,1,100000001,510000001058,
30.913,°,Segment,1,1,1,100000001,510000001069,
0,°,Segment,0,1,1,100000001,510000001078,
30.8247,°,Segment,2,2,1,100000001,510000001165,
37.743,°,Segment,6,3,1,100000001,510000001218,
79.344,°,Segment,5,3,1,100000001,510000001227,
70.3751,°,Segment,4,2,1,100000001,510000001234,
19.5733,°,Segment,3,2,1,100000001,510000001285,
91.5419,°,Segment,2,2,1,100000001,510000001296,
47.7971,°,Segment,1,2,1,100000001,510000001300,
70.2278,°,Segment,6,4,1,100000001,510000001323,
59.2723,°,Segment,4,2,1,100000001,510000001348,
25.1831,°,Segment,5,2,1,100000001,510000001359,
37.0081,°,Segment,4,3,1,100000001,510000001376,
73.2735,°,Segment,3,3,1,100000001,510000001384,
35.9458,°,Segment,3,2,1,100000001,510000001391,
74.1844,°,Segment,2,3,1,100000001,510000001398,
0,°,Segment,0,1,1,100000003,510000001454,
33.5046,°,Segment,3,1,1,100000000,510000001538,
9.95295,°,Segment,2,1,1,100000000,510000001570,
77.0974,°,Segment,3,3,1,100000000,510000001615,
63.2989,°,Segment,2,2,1,100000000,510000001631,
94.5242,°,Segment,3,3,1,100000002,510000001639,
73.5142,°,Segment,2,2,1,100000002,510000001656,
27.9692,°,Segment,1,1,1,100000002,510000001681,
0,°,Segment,0,1,1,100000002,510000001705,
37.0377,°,Segment,4,2,1,100000001,510000001775,
17.7417,°,Segment,3,1,1,100000001,510000001781,
20.625,°,Segment,2,1,1,100000001,510000001788,
31.4536,°,Segment,1,1,1,100000001,510000001800,
0,°,Segment,0,1,1,100000001,510000001815,
104.97,°,Segment,1,2,1,100000002,510000001904,
35.4872,°,Segment,7,2,1,100000002,510000001945,
55.7289,°,Segment,6,2,1,100000002,510000001954,
56.5292,°,Segment,5,2,1,100000002,510000001975,
39.8394,°,Segment,4,1,1,100000002,510000001994,
83.1663,°,Segment,3,1,1,100000002,510000002055,
19.4878,°,Segment,2,1,1,100000002,510000002066,
64.5634,°,Segment,6,3,1,100000000,510000002088,
21.4669,°,Segment,5,3,1,100000002,510000002122,
81.2741,°,Segment,4,3,1,100000002,510000002139,
44.2863,°,Segment,3,2,1,100000002,510000002178,
20.4952,°,Segment,5,3,1,100000002,510000002238,
31.2587,°,Segment,7,3,1,100000002,510000002249,
71.0603,°,Segment,5,4,1,100000002,510000002262,
108.578,°,Segment,5,3,1,100000002,510000002278,
30.2182,°,Segment,4,2,1,100000002,510000002305,
42.8772,°,Segment,6,3,1,100000002,510000002318,
53.3289,°,Segment,5,2,1,100000002,510000002337,
43.1939,°,Segment,3,2,1,100000002,510000002434,
62.7107,°,Segment,4,1,1,100000001,510000002492,
89.8543,°,Segment,6,3,1,100000000,510000002533,
84.3264,°,Segment,5,2,1,100000000,510000002548,
48.0602,°,Segment,4,2,1,100000000,510000002551,
44.0736,°,Segment,3,2,1,100000000,510000002577,
23.8006,°,Segment,2,2,1,100000000,510000002593,
52.8415,°,Segment,1,2,1,100000000,510000002605,
106.251,°,Segment,5,1,1,100000002,510000002621,
34.0684,°,Segment,4,1,1,100000003,510000002663,
18.7114,°,Segment,5,2,1,100000000,510000002699,
9.49337,°,Segment,4,1,1,100000000,510000002727,
58.1572,°,Segment,5,2,1,100000002,510000002734,
44.1231,°,Segment,5,1,1,100000000,510000002784,
44.657,°,Segment,3,2,1,100000000,510000002877,
48.6444,°,Segment,6,2,1,100000000,510000002886,
12.4299,°,Segment,5,3,1,100000000,510000002898,
38.6951,°,Segment,4,2,1,100000000,510000002904,
