
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-443.474,µm,Spine,Spine Position,0,1,1,100000000,610000004277,
-445.06,µm,Spine,Spine Position,0,1,1,100000000,610000004281,
-438.004,µm,Spine,Spine Position,0,1,1,100000001,610000004284,
-443.57,µm,Spine,Spine Position,0,1,1,100000000,610000004289,
-423.036,µm,Spine,Spine Position,1,2,1,100000002,610000004291,
-438.312,µm,Spine,Spine Position,0,1,1,100000001,610000004293,
-439.641,µm,Spine,Spine Position,0,1,1,100000001,610000004295,
-442.733,µm,Spine,Spine Position,0,1,1,100000000,610000004297,
-443.388,µm,Spine,Spine Position,0,1,1,100000000,610000004301,
-423.877,µm,Spine,Spine Position,5,3,1,100000002,610000004305,
-443.209,µm,Spine,Spine Position,0,1,1,100000000,610000004307,
-438.675,µm,Spine,Spine Position,0,1,1,100000001,610000004309,
-409.163,µm,Spine,Spine Position,0,1,1,100000003,610000004313,
-440.236,µm,Spine,Spine Position,0,1,1,100000000,610000004318,
-438.036,µm,Spine,Spine Position,0,1,1,100000001,610000004320,
-439.424,µm,Spine,Spine Position,0,1,1,100000001,610000004323,
-444.046,µm,Spine,Spine Position,0,1,1,100000000,610000004326,
-424.242,µm,Spine,Spine Position,5,3,1,100000002,610000004331,
-442.735,µm,Spine,Spine Position,0,1,1,100000000,610000004337,
-442.774,µm,Spine,Spine Position,0,1,1,100000000,610000004342,
-442.417,µm,Spine,Spine Position,0,1,1,100000000,610000004345,
-410.556,µm,Spine,Spine Position,0,1,1,100000003,610000004348,
-424.75,µm,Spine,Spine Position,5,3,1,100000002,610000004351,
-424.137,µm,Spine,Spine Position,5,3,1,100000002,610000004355,
-444.763,µm,Spine,Spine Position,0,1,1,100000000,610000004362,
-423.557,µm,Spine,Spine Position,5,3,1,100000002,610000004367,
-429.855,µm,Spine,Spine Position,7,4,1,100000000,610000004369,
-409.323,µm,Spine,Spine Position,0,1,1,100000003,610000004371,
-443.643,µm,Spine,Spine Position,0,1,1,100000000,610000004376,
-437.42,µm,Spine,Spine Position,1,1,1,100000001,610000004389,
-444.877,µm,Spine,Spine Position,0,1,1,100000000,610000004391,
