
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
21507.4,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21507.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21507.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21508.3,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21508.3,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21492,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21492.3,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21492.3,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21491.3,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21491.3,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21503.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21503.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21503.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21503.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21503.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21487.8,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21487.7,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21487.7,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21488.6,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21488.6,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
