
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
117.017,°,Segment,7,5,1,100000000,510000000027,
-1.08538,°,Segment,6,4,1,100000000,510000000054,
-57.9118,°,Segment,5,3,1,100000000,510000000091,
-1.30682,°,Segment,4,2,1,100000000,510000000103,
38.7885,°,Segment,3,1,1,100000000,510000000121,
13.2229,°,Segment,2,1,1,100000000,510000000134,
-6.15408,°,Segment,1,1,1,100000000,510000000159,
-1.44871,°,Segment,0,1,1,100000000,510000000199,
-12.1289,°,Segment,7,4,1,100000000,510000000286,
155.084,°,Segment,4,3,1,100000000,510000000347,
120.097,°,Segment,3,2,1,100000000,510000000404,
113.888,°,Segment,2,2,1,100000000,510000000422,
165.153,°,Segment,1,1,1,100000000,510000000429,
-156.066,°,Segment,0,1,1,100000000,510000000455,
142.154,°,Segment,4,2,1,100000000,510000000462,
54.5799,°,Segment,0,1,1,100000000,510000000602,
-67.2041,°,Segment,2,2,1,100000002,510000000670,
-65.0951,°,Segment,1,1,1,100000002,510000000703,
-77.0246,°,Segment,0,1,1,100000002,510000000741,
6.04814,°,Segment,4,2,1,100000003,510000000792,
-146.343,°,Segment,3,1,1,100000003,510000000809,
142.121,°,Segment,2,1,1,100000003,510000000833,
98.8891,°,Segment,1,1,1,100000003,510000000846,
100.334,°,Segment,0,1,1,100000003,510000000876,
2.73205,°,Segment,4,1,1,100000001,510000001009,
-50.9917,°,Segment,3,1,1,100000001,510000001031,
-17.3931,°,Segment,2,1,1,100000001,510000001058,
-49.915,°,Segment,1,1,1,100000001,510000001069,
-51.367,°,Segment,0,1,1,100000001,510000001078,
-80.3945,°,Segment,2,2,1,100000001,510000001165,
44.186,°,Segment,6,3,1,100000001,510000001218,
37.513,°,Segment,5,3,1,100000001,510000001227,
-5.08891,°,Segment,4,2,1,100000001,510000001234,
65.1545,°,Segment,3,2,1,100000001,510000001285,
47.8801,°,Segment,2,2,1,100000001,510000001296,
-11.2642,°,Segment,1,2,1,100000001,510000001300,
-43.2065,°,Segment,6,4,1,100000001,510000001323,
9.83849,°,Segment,4,2,1,100000001,510000001348,
21.4307,°,Segment,5,2,1,100000001,510000001359,
63.1272,°,Segment,4,3,1,100000001,510000001376,
16.9122,°,Segment,3,3,1,100000001,510000001384,
17.9132,°,Segment,3,2,1,100000001,510000001391,
-146.196,°,Segment,2,3,1,100000001,510000001398,
87.0066,°,Segment,0,1,1,100000003,510000001454,
-153.075,°,Segment,3,1,1,100000000,510000001538,
175.043,°,Segment,2,1,1,100000000,510000001570,
101.484,°,Segment,3,3,1,100000000,510000001615,
-19.2743,°,Segment,2,2,1,100000000,510000001631,
-118.171,°,Segment,3,3,1,100000002,510000001639,
18.6673,°,Segment,2,2,1,100000002,510000001656,
-46.615,°,Segment,1,1,1,100000002,510000001681,
-17.3427,°,Segment,0,1,1,100000002,510000001705,
175.54,°,Segment,4,2,1,100000001,510000001775,
-145.986,°,Segment,3,1,1,100000001,510000001781,
-144.612,°,Segment,2,1,1,100000001,510000001788,
-168.093,°,Segment,1,1,1,100000001,510000001800,
-147.765,°,Segment,0,1,1,100000001,510000001815,
176.381,°,Segment,1,2,1,100000002,510000001904,
12.829,°,Segment,7,2,1,100000002,510000001945,
47.5571,°,Segment,6,2,1,100000002,510000001954,
-8.3052,°,Segment,5,2,1,100000002,510000001975,
19.0112,°,Segment,4,1,1,100000002,510000001994,
45.1997,°,Segment,3,1,1,100000002,510000002055,
-32.027,°,Segment,2,1,1,100000002,510000002066,
-14.6265,°,Segment,6,3,1,100000000,510000002088,
-117.849,°,Segment,5,3,1,100000002,510000002122,
-103.881,°,Segment,4,3,1,100000002,510000002139,
-22.6154,°,Segment,3,2,1,100000002,510000002178,
-25.7486,°,Segment,5,3,1,100000002,510000002238,
71.3161,°,Segment,7,3,1,100000002,510000002249,
-32.7625,°,Segment,5,4,1,100000002,510000002262,
-72.6746,°,Segment,5,3,1,100000002,510000002278,
35.1211,°,Segment,4,2,1,100000002,510000002305,
-41.6389,°,Segment,6,3,1,100000002,510000002318,
88.4249,°,Segment,5,2,1,100000002,510000002337,
-69.2289,°,Segment,3,2,1,100000002,510000002434,
-79.9643,°,Segment,4,1,1,100000001,510000002492,
62.5318,°,Segment,6,3,1,100000000,510000002533,
165.405,°,Segment,5,2,1,100000000,510000002548,
-76.5567,°,Segment,4,2,1,100000000,510000002551,
-121.935,°,Segment,3,2,1,100000000,510000002577,
-81.6791,°,Segment,2,2,1,100000000,510000002593,
-101.967,°,Segment,1,2,1,100000000,510000002605,
-138.645,°,Segment,5,1,1,100000002,510000002621,
171.725,°,Segment,4,1,1,100000003,510000002663,
62.9525,°,Segment,5,2,1,100000000,510000002699,
47.448,°,Segment,4,1,1,100000000,510000002727,
51.918,°,Segment,5,2,1,100000002,510000002734,
35.2865,°,Segment,5,1,1,100000000,510000002784,
-139.596,°,Segment,3,2,1,100000000,510000002877,
-169.313,°,Segment,6,2,1,100000000,510000002886,
-108.999,°,Segment,5,3,1,100000000,510000002898,
-96.3435,°,Segment,4,2,1,100000000,510000002904,
-122.085,°,Segment,3,2,1,100000000,510000002914,
-74.1925,°,Segment,0,1,1,100000001,510000002963,
-60.215,°,Segment,5,2,1,100000000,510000002981,
-97.1308,°,Segment,2,1,1,100000002,510000002999,
103.892,°,Segment,4,3,1,100000000,510000003008,
-27.575,°,Segment,5,2,1,100000000,510000003027,
-72.1144,°,Segment,1,2,1,100000001,510000003049,
58.137,°,Segment,3,2,1,100000003,510000003081,
174.158,°,Segment,4,3,1,100000000,510000003092,
161.194,°,Segment,3,2,1,100000000,510000003097,
-29.8852,°,Segment,5,3,1,100000000,510000003105,
-136.08,°,Segment,1,2,1,100000001,510000003141,
-173.556,°,Segment,0,1,1,100000001,510000003164,
-14.0789,°,Segment,3,2,1,100000001,510000003176,
106.585,°,Segment,0,1,1,100000001,510000003220,
-177.564,°,Segment,3,3,1,100000000,510000003254,
-150.634,°,Segment,2,2,1,100000001,510000003264,
147.447,°,Segment,1,1,1,100000001,510000003273,
-143.214,°,Segment,2,2,1,100000001,510000003292,
-78.4828,°,Segment,2,2,1,100000001,510000003300,
-31.6359,°,Segment,3,3,1,100000000,510000003321,
-148.419,°,Segment,0,1,1,100000003,510000003364,
-139.091,°,Segment,2,3,1,100000000,510000003389,
-132.636,°,Segment,1,2,1,100000000,510000003412,
54.6762,°,Segment,2,2,1,100000003,510000003424,
15.3367,°,Segment,1,2,1,100000002,510000003439,
105.599,°,Segment,0,1,1,100000001,510000003466,
155.267,°,Segment,1,2,1,100000003,510000003474,
142.977,°,Segment,0,1,1,100000003,510000003586,
84.8558,°,Segment,2,1,1,100000001,510000003627,
-5.25944,°,Segment,4,2,1,100000002,510000003630,
