
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.0904796,,Surface,5,Image 1,1,0,
0.362831,,Surface,5,Image 1,1,1,
