
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
21255.9,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21255.8,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21255.8,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21256,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21256.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21239.6,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21240.5,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21240.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21239.5,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21239.5,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
