
Soma Intensity Min Ch=3 Img=1
 ==================== 
Soma Intensity Min,Unit,Category,Channel,Image,Time,FilamentID,ID,
0,,Soma,3,Image 1,1,100000000,800000000,
0,,Soma,3,Image 1,1,100000001,800000001,
