
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
2.53711,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
3.1875,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
