
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.2975e+08,,Surface,2,Image 1,1,0,
3.22902e+08,,Surface,2,Image 1,1,1,
