
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,10,4,1,,610000004519,
1,,Spine,16,5,1,,610000004519,
1,,Spine,20,5,1,,610000004520,
1,,Spine,10,3,1,,610000004520,
1,,Spine,20,5,1,,610000004521,
1,,Spine,14,6,1,,610000004521,
1,,Spine,12,4,1,,610000004522,
1,,Spine,17,4,1,,610000004522,
1,,Spine,12,3,1,,610000004523,
1,,Spine,19,5,1,,610000004523,
1,,Spine,15,4,1,,610000004524,
1,,Spine,20,6,1,,610000004524,
1,,Spine,15,4,1,,610000004525,
1,,Spine,20,6,1,,610000004525,
1,,Spine,0,1,1,,610000004526,
1,,Spine,21,6,1,,610000004526,
1,,Spine,0,1,1,,610000004527,
1,,Spine,21,6,1,,610000004527,
1,,Spine,0,1,1,,610000004528,
1,,Spine,1,2,1,,610000004528,
1,,Spine,0,1,1,,610000004529,
1,,Spine,1,2,1,,610000004529,
1,,Spine,0,1,1,,610000004530,
1,,Spine,3,2,1,,610000004530,
1,,Spine,0,1,1,,610000004531,
1,,Spine,0,1,1,,610000004532,
1,,Spine,5,2,1,,610000004533,
1,,Spine,5,1,1,,610000004534,
1,,Spine,6,4,1,,610000004535,
1,,Spine,7,4,1,,610000004536,
1,,Spine,7,4,1,,610000004537,
1,,Spine,7,4,1,,610000004538,
1,,Spine,7,4,1,,610000004539,
1,,Spine,11,6,1,,610000004540,
1,,Spine,11,6,1,,610000004541,
1,,Spine,11,6,1,,610000004542,
1,,Spine,9,4,1,,610000004543,
1,,Spine,6,2,1,,610000004544,
1,,Spine,5,2,1,,610000004545,
1,,Spine,3,2,1,,610000004546,
1,,Spine,2,1,1,,610000004547,
1,,Spine,0,1,1,,610000004549,
