
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.45782,,Surface,1,Image 1,1,0,
17.4479,,Surface,1,Image 1,1,1,
