
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.068,184.531,µm^3,Volume Outside,Image 1,1,,
0.204,165.407,µm^3,Volume Outside,Image 1,1,,
0.34,155.898,µm^3,Volume Outside,Image 1,1,,
0.476,130.999,µm^3,Volume Outside,Image 1,1,,
0.612,119.685,µm^3,Volume Outside,Image 1,1,,
0.748,115.479,µm^3,Volume Outside,Image 1,1,,
0.884,111.577,µm^3,Volume Outside,Image 1,1,,
1.02,110,µm^3,Volume Outside,Image 1,1,,
1.156,108.383,µm^3,Volume Outside,Image 1,1,,
1.292,106.266,µm^3,Volume Outside,Image 1,1,,
1.428,104.997,µm^3,Volume Outside,Image 1,1,,
1.564,102.667,µm^3,Volume Outside,Image 1,1,,
1.7,100.356,µm^3,Volume Outside,Image 1,1,,
1.836,97.8425,µm^3,Volume Outside,Image 1,1,,
1.972,95.9618,µm^3,Volume Outside,Image 1,1,,
2.108,94.0206,µm^3,Volume Outside,Image 1,1,,
2.244,92.1461,µm^3,Volume Outside,Image 1,1,,
2.38,90.1381,µm^3,Volume Outside,Image 1,1,,
2.516,88.3128,µm^3,Volume Outside,Image 1,1,,
2.652,86.5648,µm^3,Volume Outside,Image 1,1,,
2.788,85.6001,µm^3,Volume Outside,Image 1,1,,
2.924,84.1702,µm^3,Volume Outside,Image 1,1,,
3.06,83.6094,µm^3,Volume Outside,Image 1,1,,
3.196,82.2971,µm^3,Volume Outside,Image 1,1,,
3.332,81.1717,µm^3,Volume Outside,Image 1,1,,
3.468,80.5529,µm^3,Volume Outside,Image 1,1,,
3.604,80.3575,µm^3,Volume Outside,Image 1,1,,
3.74,79.6339,µm^3,Volume Outside,Image 1,1,,
3.876,79.2668,µm^3,Volume Outside,Image 1,1,,
4.012,78.8836,µm^3,Volume Outside,Image 1,1,,
4.148,78.5829,µm^3,Volume Outside,Image 1,1,,
4.284,78.1913,µm^3,Volume Outside,Image 1,1,,
4.42,77.8259,µm^3,Volume Outside,Image 1,1,,
4.556,78.3567,µm^3,Volume Outside,Image 1,1,,
4.692,78.2615,µm^3,Volume Outside,Image 1,1,,
4.828,77.7942,µm^3,Volume Outside,Image 1,1,,
4.964,77.3565,µm^3,Volume Outside,Image 1,1,,
5.1,76.9834,µm^3,Volume Outside,Image 1,1,,
5.236,76.4395,µm^3,Volume Outside,Image 1,1,,
5.372,76.6117,µm^3,Volume Outside,Image 1,1,,
5.508,76.7948,µm^3,Volume Outside,Image 1,1,,
5.644,76.5711,µm^3,Volume Outside,Image 1,1,,
5.78,76.2556,µm^3,Volume Outside,Image 1,1,,
5.916,75.9342,µm^3,Volume Outside,Image 1,1,,
6.052,76.6569,µm^3,Volume Outside,Image 1,1,,
6.188,76.8181,µm^3,Volume Outside,Image 1,1,,
6.324,76.5635,µm^3,Volume Outside,Image 1,1,,
6.46,76.1033,µm^3,Volume Outside,Image 1,1,,
6.596,75.5755,µm^3,Volume Outside,Image 1,1,,
6.732,75.9811,µm^3,Volume Outside,Image 1,1,,
6.868,76.2285,µm^3,Volume Outside,Image 1,1,,
7.004,76.3516,µm^3,Volume Outside,Image 1,1,,
7.14,76.4205,µm^3,Volume Outside,Image 1,1,,
7.276,76.1604,µm^3,Volume Outside,Image 1,1,,
7.412,75.9058,µm^3,Volume Outside,Image 1,1,,
7.548,76.7783,µm^3,Volume Outside,Image 1,1,,
7.684,77.0469,µm^3,Volume Outside,Image 1,1,,
7.82,77.1099,µm^3,Volume Outside,Image 1,1,,
7.956,76.9606,µm^3,Volume Outside,Image 1,1,,
8.092,76.0488,µm^3,Volume Outside,Image 1,1,,
8.228,76.0386,µm^3,Volume Outside,Image 1,1,,
8.364,76.9707,µm^3,Volume Outside,Image 1,1,,
8.5,76.599,µm^3,Volume Outside,Image 1,1,,
8.636,76.5482,µm^3,Volume Outside,Image 1,1,,
8.772,75.2621,µm^3,Volume Outside,Image 1,1,,
8.908,74.6738,µm^3,Volume Outside,Image 1,1,,
9.044,75.046,µm^3,Volume Outside,Image 1,1,,
9.18,73.8521,µm^3,Volume Outside,Image 1,1,,
9.316,73.5429,µm^3,Volume Outside,Image 1,1,,
9.452,71.9147,µm^3,Volume Outside,Image 1,1,,
9.588,71.1737,µm^3,Volume Outside,Image 1,1,,
9.724,71.4008,µm^3,Volume Outside,Image 1,1,,
9.86,70.6142,µm^3,Volume Outside,Image 1,1,,
9.996,70.8041,µm^3,Volume Outside,Image 1,1,,
10.132,70.1392,µm^3,Volume Outside,Image 1,1,,
10.268,70.0923,µm^3,Volume Outside,Image 1,1,,
10.404,69.1487,µm^3,Volume Outside,Image 1,1,,
10.54,69.2608,µm^3,Volume Outside,Image 1,1,,
10.676,70.168,µm^3,Volume Outside,Image 1,1,,
10.812,69.3073,µm^3,Volume Outside,Image 1,1,,
10.948,69.1305,µm^3,Volume Outside,Image 1,1,,
11.084,67.9717,µm^3,Volume Outside,Image 1,1,,
