
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.314481,µm,Spine,Spine Part Max Diameter,13,8,1,100000001,610000004003,
0.251265,µm,Spine,Spine Part Max Diameter,13,8,1,100000001,610000004007,
0.269829,µm,Spine,Spine Part Max Diameter,11,6,1,100000000,610000004012,
0.355728,µm,Spine,Spine Part Max Diameter,5,1,1,100000001,610000004016,
0.314481,µm,Spine,Spine Part Max Diameter,13,8,1,100000001,610000004021,
0.269829,µm,Spine,Spine Part Max Diameter,11,6,1,100000000,610000004026,
0.393989,µm,Spine,Spine Part Max Diameter,13,8,1,100000001,610000004031,
0.314481,µm,Spine,Spine Part Max Diameter,13,8,1,100000001,610000004035,
0.269829,µm,Spine,Spine Part Max Diameter,11,6,1,100000000,610000004039,
0.434354,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000004044,
0.267531,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000004048,
0.266199,µm,Spine,Spine Part Max Diameter,10,5,1,100000000,610000004050,
0.40625,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004056,
0.354028,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000004059,
0.342111,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000004062,
0.259045,µm,Spine,Spine Part Max Diameter,21,6,1,100000001,610000004064,
0.378443,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000004066,
0.32638,µm,Spine,Spine Part Max Diameter,11,1,1,100000001,610000004068,
0.429728,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000004074,
0.191747,µm,Spine,Spine Part Max Diameter,23,6,1,100000001,610000004076,
0.41845,µm,Spine,Spine Part Max Diameter,16,2,1,100000000,610000004079,
0.218218,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004084,
0.340182,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000004087,
0.299223,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000004089,
0.315474,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000004094,
0.433833,µm,Spine,Spine Part Max Diameter,13,3,1,100000001,610000004099,
0.374562,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000004106,
0.296493,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000004108,
0.410557,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000004116,
0.335771,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000004118,
0.283253,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000004121,
0.41845,µm,Spine,Spine Part Max Diameter,16,2,1,100000000,610000004123,
0.4508,µm,Spine,Spine Part Max Diameter,18,5,1,100000001,610000004125,
0.393526,µm,Spine,Spine Part Max Diameter,9,3,1,100000000,610000004128,
0.50406,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004133,
0.381957,µm,Spine,Spine Part Max Diameter,12,1,1,100000001,610000004135,
0.417043,µm,Spine,Spine Part Max Diameter,12,3,1,100000000,610000004138,
0.422754,µm,Spine,Spine Part Max Diameter,5,1,1,100000001,610000004140,
0.668004,µm,Spine,Spine Part Max Diameter,4,1,1,100000000,610000004142,
0.315474,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000004145,
0.355098,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000004147,
0.312098,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000004149,
0.442394,µm,Spine,Spine Part Max Diameter,14,1,1,100000000,610000004151,
0.416836,µm,Spine,Spine Part Max Diameter,9,5,1,100000000,610000004154,
0.349337,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000004156,
0.318576,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000004158,
0.385677,µm,Spine,Spine Part Max Diameter,12,2,1,100000001,610000004161,
0.412611,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004166,
0.600424,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000004172,
0.305276,µm,Spine,Spine Part Max Diameter,17,6,1,100000001,610000004177,
0.392786,µm,Spine,Spine Part Max Diameter,21,7,1,100000001,610000004179,
0.364716,µm,Spine,Spine Part Max Diameter,16,4,1,100000001,610000004182,
0.424023,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004187,
0.585776,µm,Spine,Spine Part Max Diameter,12,2,1,100000000,610000004189,
0.557451,µm,Spine,Spine Part Max Diameter,8,2,1,100000001,610000004195,
0.429728,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000004198,
0.382647,µm,Spine,Spine Part Max Diameter,9,3,1,100000000,610000004201,
0.63368,µm,Spine,Spine Part Max Diameter,4,1,1,100000000,610000004203,
0.519518,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004208,
0.417043,µm,Spine,Spine Part Max Diameter,12,3,1,100000000,610000004210,
0.39107,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004217,
0.346265,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004220,
0.543956,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004232,
0.505273,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004235,
0.451054,µm,Spine,Spine Part Max Diameter,6,4,1,100000000,610000004243,
0.430591,µm,Spine,Spine Part Max Diameter,6,4,1,100000000,610000004246,
