
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,6,Image 1,5,1,100000005,510000000009,
49,,Segment,3,5,Image 1,4,1,100000005,510000000066,
43,,Segment,3,4,Image 1,3,1,100000005,510000000112,
3,,Segment,3,3,Image 1,2,1,100000005,510000000114,
3,,Segment,3,2,Image 1,1,1,100000005,510000000116,
7,,Segment,3,1,Image 1,1,1,100000005,510000000122,
16,,Segment,3,0,Image 1,1,1,100000005,510000000138,
1,,Segment,3,6,Image 1,4,1,100000005,510000000152,
35,,Segment,3,8,Image 1,4,1,100000004,510000000186,
5,,Segment,3,7,Image 1,3,1,100000004,510000000190,
3,,Segment,3,6,Image 1,2,1,100000004,510000000192,
25,,Segment,3,5,Image 1,2,1,100000004,510000000216,
35,,Segment,3,4,Image 1,2,1,100000004,510000000250,
8,,Segment,3,3,Image 1,1,1,100000004,510000000257,
9,,Segment,3,2,Image 1,1,1,100000004,510000000265,
14,,Segment,3,1,Image 1,1,1,100000004,510000000278,
6,,Segment,3,0,Image 1,1,1,100000004,510000000293,
43,,Segment,3,5,Image 1,5,1,100000004,510000000338,
18,,Segment,3,4,Image 1,4,1,100000004,510000000355,
81,,Segment,3,3,Image 1,3,1,100000004,510000000435,
11,,Segment,3,2,Image 1,3,1,100000004,510000000445,
34,,Segment,3,1,Image 1,2,1,100000004,510000000478,
3,,Segment,3,0,Image 1,1,1,100000004,510000000483,
27,,Segment,3,1,Image 1,1,1,100000003,510000000519,
20,,Segment,3,0,Image 1,1,1,100000003,510000000557,
62,,Segment,3,5,Image 1,5,1,100000004,510000000628,
6,,Segment,3,4,Image 1,4,1,100000004,510000000633,
9,,Segment,3,3,Image 1,4,1,100000004,510000000641,
53,,Segment,3,2,Image 1,3,1,100000004,510000000693,
11,,Segment,3,1,Image 1,2,1,100000004,510000000703,
13,,Segment,3,0,Image 1,1,1,100000004,510000000718,
21,,Segment,3,16,Image 1,6,1,100000005,510000000763,
15,,Segment,3,15,Image 1,5,1,100000005,510000000777,
