
Soma Center of Homogeneous Mass
 ==================== 
Soma Center of Homogeneous Mass X,Soma Center of Homogeneous Mass Y,Soma Center of Homogeneous Mass Z,Unit,Category,Collection,Time,FilamentID,ID,
590.496,21342.3,1373.64,µm,Soma,Soma Center of Homogeneous Mass,1,100000000,800000000,
570.904,21392.9,1373.42,µm,Soma,Soma Center of Homogeneous Mass,1,100000001,800000001,
489.517,21316.1,1377.31,µm,Soma,Soma Center of Homogeneous Mass,1,100000002,800000002,
508.356,21302.4,1379.29,µm,Soma,Soma Center of Homogeneous Mass,1,100000003,800000003,
549.732,21317.7,1380.44,µm,Soma,Soma Center of Homogeneous Mass,1,100000004,800000004,
607.497,21284.4,1382.33,µm,Soma,Soma Center of Homogeneous Mass,1,100000005,800000005,
523.538,21353.5,1387.96,µm,Soma,Soma Center of Homogeneous Mass,1,100000006,800000006,
