
Soma BoundingBoxAA Length Z
 ==================== 
Soma BoundingBoxAA Length Z,Unit,Category,Collection,Time,FilamentID,ID,
5,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
4.5,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
10,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
12,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000003,
11,µm,Soma,Soma BoundingBoxAA Length,1,100000004,800000004,
13.5,µm,Soma,Soma BoundingBoxAA Length,1,100000005,800000005,
12,µm,Soma,Soma BoundingBoxAA Length,1,100000006,800000006,
