
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
84.4435,°,Spine,2,2,1,100000002,610000011895,
74.2616,°,Spine,2,1,1,100000002,610000011896,
66.6725,°,Spine,0,1,1,100000002,610000011897,
77.4865,°,Spine,1,1,1,100000003,610000011905,
11.0756,°,Spine,4,2,1,100000003,610000011907,
74.1582,°,Spine,2,2,1,100000003,610000011908,
57.5653,°,Spine,2,3,1,100000003,610000011909,
80.1172,°,Spine,2,3,1,100000003,610000011910,
86.4832,°,Spine,3,1,1,100000003,610000011911,
90.3392,°,Spine,1,1,1,100000003,610000011913,
76.1437,°,Spine,4,3,1,100000003,610000011914,
74.2342,°,Spine,0,1,1,100000003,610000011915,
55.5778,°,Spine,0,1,1,100000003,610000011916,
66.6649,°,Spine,3,2,1,100000003,610000011917,
74.5788,°,Spine,4,2,1,100000003,610000011918,
86.1528,°,Spine,1,1,1,100000003,610000011919,
66.3764,°,Spine,7,1,1,100000003,610000011921,
54.0105,°,Spine,7,1,1,100000003,610000011922,
75.1349,°,Spine,5,1,1,100000003,610000011923,
46.8098,°,Spine,2,2,1,100000003,610000011924,
74.9168,°,Spine,2,2,1,100000003,610000011925,
49.9988,°,Spine,8,2,1,100000004,610000011927,
70.217,°,Spine,7,2,1,100000004,610000011928,
74.283,°,Spine,6,2,1,100000004,610000011929,
65.9466,°,Spine,1,2,1,100000004,610000011930,
62.676,°,Spine,6,3,1,100000004,610000011931,
73.8393,°,Spine,5,5,1,100000004,610000011932,
82.4191,°,Spine,2,1,1,100000004,610000011934,
64.7594,°,Spine,3,3,1,100000004,610000011935,
42.3473,°,Spine,1,2,1,100000004,610000011936,
104.855,°,Spine,7,2,1,100000004,610000011938,
99.8184,°,Spine,5,5,1,100000004,610000011940,
83.0655,°,Spine,4,5,1,100000004,610000011941,
77.8493,°,Spine,0,1,1,100000004,610000011942,
83.0434,°,Spine,4,2,1,100000004,610000011944,
73.2829,°,Spine,4,2,1,100000004,610000011945,
105.373,°,Spine,1,2,1,100000004,610000011946,
