
Soma Number of Disconnected Components
 ==================== 
Soma Number of Disconnected Components,Unit,Category,Time,FilamentID,ID,
1,,Soma,1,100000000,800000000,
1,,Soma,1,100000001,800000001,
1,,Soma,1,100000002,800000002,
1,,Soma,1,100000003,800000003,
1,,Soma,1,100000004,800000004,
1,,Soma,1,100000005,800000005,
1,,Soma,1,100000006,800000006,
