
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
118,,Segment,3,3,Image 1,1,1,100000004,510000001987,
146,,Segment,3,1,Image 1,1,1,100000004,510000001993,
131,,Segment,3,16,Image 1,5,1,100000005,510000001999,
55,,Segment,3,7,Image 1,1,1,100000005,510000002005,
142,,Segment,3,6,Image 1,1,1,100000005,510000002033,
160,,Segment,3,5,Image 1,1,1,100000005,510000002040,
142,,Segment,3,6,Image 1,3,1,100000004,510000002064,
111,,Segment,3,5,Image 1,3,1,100000004,510000002066,
87,,Segment,3,4,Image 1,3,1,100000004,510000002074,
98,,Segment,3,3,Image 1,3,1,100000004,510000002092,
106,,Segment,3,2,Image 1,3,1,100000004,510000002119,
160,,Segment,3,1,Image 1,2,1,100000004,510000002123,
148,,Segment,3,1,Image 1,2,1,100000003,510000002131,
128,,Segment,3,17,Image 1,8,1,100000005,510000002140,
73,,Segment,3,16,Image 1,7,1,100000005,510000002147,
145,,Segment,3,17,Image 1,6,1,100000005,510000002181,
114,,Segment,3,16,Image 1,6,1,100000005,510000002191,
156,,Segment,3,17,Image 1,7,1,100000005,510000002207,
122,,Segment,3,14,Image 1,6,1,100000005,510000002228,
69,,Segment,3,17,Image 1,7,1,100000005,510000002232,
112,,Segment,3,8,Image 1,4,1,100000004,510000002264,
118,,Segment,3,7,Image 1,3,1,100000004,510000002288,
118,,Segment,3,6,Image 1,2,1,100000004,510000002312,
76,,Segment,3,9,Image 1,3,1,100000004,510000002316,
76,,Segment,3,8,Image 1,3,1,100000004,510000002319,
126,,Segment,3,3,Image 1,2,1,100000004,510000002372,
120,,Segment,3,2,Image 1,1,1,100000004,510000002375,
128,,Segment,3,1,Image 1,1,1,100000004,510000002377,
118,,Segment,3,5,Image 1,5,1,100000005,510000002409,
77,,Segment,3,4,Image 1,5,1,100000005,510000002413,
112,,Segment,3,3,Image 1,4,1,100000005,510000002433,
130,,Segment,3,2,Image 1,3,1,100000005,510000002467,
122,,Segment,3,1,Image 1,2,1,100000005,510000002485,
65,,Segment,3,5,Image 1,6,1,100000005,510000002489,
77,,Segment,3,4,Image 1,4,1,100000005,510000002491,
200,,Segment,3,5,Image 1,4,1,100000001,510000002522,
118,,Segment,3,4,Image 1,3,1,100000001,510000002538,
129,,Segment,3,3,Image 1,2,1,100000001,510000002553,
114,,Segment,3,2,Image 1,2,1,100000001,510000002563,
153,,Segment,3,1,Image 1,1,1,100000001,510000002590,
156,,Segment,3,0,Image 1,1,1,100000001,510000002600,
111,,Segment,3,6,Image 1,4,1,100000004,510000002620,
122,,Segment,3,5,Image 1,4,1,100000004,510000002623,
50,,Segment,3,6,Image 1,3,1,100000004,510000002632,
72,,Segment,3,5,Image 1,3,1,100000004,510000002635,
77,,Segment,3,3,Image 1,3,1,100000004,510000002651,
96,,Segment,3,2,Image 1,2,1,100000004,510000002658,
42,,Segment,3,6,Image 1,4,1,100000004,510000002660,
60,,Segment,3,5,Image 1,4,1,100000004,510000002663,
56,,Segment,3,4,Image 1,4,1,100000004,510000002665,
46,,Segment,3,6,Image 1,5,1,100000004,510000002675,
75,,Segment,3,5,Image 1,4,1,100000004,510000002693,
75,,Segment,3,4,Image 1,4,1,100000004,510000002706,
41,,Segment,3,6,Image 1,4,1,100000004,510000002709,
86,,Segment,3,5,Image 1,5,1,100000004,510000002730,
82,,Segment,3,3,Image 1,4,1,100000004,510000002734,
67,,Segment,3,4,Image 1,4,1,100000005,510000002736,
127,,Segment,3,3,Image 1,3,1,100000005,510000002766,
99,,Segment,3,4,Image 1,3,1,100000005,510000002769,
90,,Segment,3,5,Image 1,3,1,100000003,510000002789,
87,,Segment,3,4,Image 1,2,1,100000003,510000002791,
119,,Segment,3,3,Image 1,2,1,100000003,510000002810,
121,,Segment,3,2,Image 1,2,1,100000003,510000002821,
140,,Segment,3,1,Image 1,2,1,100000003,510000002890,
124,,Segment,3,0,Image 1,1,1,100000003,510000002903,
