
Intensity Max Ch=4 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
275,,Surface,4,Image 1,1,0,
316,,Surface,4,Image 1,1,1,
195,,Surface,4,Image 1,1,2,
221,,Surface,4,Image 1,1,3,
271,,Surface,4,Image 1,1,4,
239,,Surface,4,Image 1,1,5,
299,,Surface,4,Image 1,1,6,
