
Spine Attachment Pt Time
 ==================== 
Spine Attachment Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,0,1,1,100000006,610000011236,
0,s,Spine,6,2,1,100000005,610000011270,
0,s,Spine,5,2,1,100000001,610000011273,
0,s,Spine,5,4,1,100000004,610000011298,
0,s,Spine,2,2,1,100000004,610000011304,
0,s,Spine,7,3,1,100000000,610000011306,
0,s,Spine,9,5,1,100000006,610000011320,
0,s,Spine,13,7,1,100000001,610000011323,
0,s,Spine,4,2,1,100000003,610000011327,
0,s,Spine,5,4,1,100000004,610000011329,
0,s,Spine,9,4,1,100000005,610000011333,
0,s,Spine,0,1,1,100000003,610000011347,
0,s,Spine,0,1,1,100000003,610000011357,
0,s,Spine,7,2,1,100000005,610000011368,
0,s,Spine,1,1,1,100000004,610000011371,
0,s,Spine,0,1,1,100000000,610000011418,
0,s,Spine,5,2,1,100000004,610000011429,
0,s,Spine,1,2,1,100000000,610000011433,
0,s,Spine,6,1,1,100000000,610000011441,
0,s,Spine,5,2,1,100000001,610000011445,
0,s,Spine,4,2,1,100000000,610000011453,
0,s,Spine,1,2,1,100000000,610000011457,
0,s,Spine,5,5,1,100000004,610000011461,
0,s,Spine,4,3,1,100000003,610000011466,
0,s,Spine,4,2,1,100000005,610000011480,
0,s,Spine,0,1,1,100000005,610000011482,
0,s,Spine,13,5,1,100000001,610000011489,
0,s,Spine,3,1,1,100000000,610000011491,
0,s,Spine,2,2,1,100000003,610000011493,
0,s,Spine,7,3,1,100000005,610000011495,
0,s,Spine,0,1,1,100000001,610000011499,
0,s,Spine,0,1,1,100000005,610000011508,
0,s,Spine,7,2,1,100000005,610000011510,
0,s,Spine,0,1,1,100000006,610000011520,
0,s,Spine,3,1,1,100000002,610000011523,
0,s,Spine,1,1,1,100000004,610000011528,
0,s,Spine,9,4,1,100000006,610000011532,
0,s,Spine,4,3,1,100000006,610000011535,
0,s,Spine,10,3,1,100000005,610000011541,
0,s,Spine,5,2,1,100000005,610000011550,
0,s,Spine,0,1,1,100000001,610000011552,
0,s,Spine,14,2,1,100000001,610000011555,
