
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.875651,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011546,
1.02433,µm,Spine,Spine Part Max Diameter,4,1,1,100000006,610000011548,
1.06607,µm,Spine,Spine Part Max Diameter,5,2,1,100000005,610000011550,
1.41116,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011552,
1.05687,µm,Spine,Spine Part Max Diameter,14,2,1,100000001,610000011555,
1.35184,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000011557,
1.05712,µm,Spine,Spine Part Max Diameter,13,5,1,100000005,610000011559,
0.978975,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000011561,
0.926501,µm,Spine,Spine Part Max Diameter,1,2,1,100000003,610000011563,
1.07117,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011569,
2.4424,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011575,
1.26823,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011577,
1.00852,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011580,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011584,
2.03395,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011586,
0.893155,µm,Spine,Spine Part Max Diameter,7,3,1,100000003,610000011588,
1.33065,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011591,
1.64981,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011593,
1.22042,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011595,
1.12217,µm,Spine,Spine Part Max Diameter,3,3,1,100000005,610000011597,
1.40473,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011602,
0.898438,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011608,
1.30208,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000011611,
0.80649,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011614,
1.15236,µm,Spine,Spine Part Max Diameter,5,2,1,100000005,610000011617,
1.54678,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011620,
1.8246,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011622,
0.833333,µm,Spine,Spine Part Max Diameter,2,3,1,100000000,610000011632,
1.42709,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011635,
0.833333,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011637,
1.40473,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011639,
1.55599,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011641,
1.36125,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011645,
0.507812,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011648,
1.04167,µm,Spine,Spine Part Max Diameter,5,4,1,100000005,610000011652,
1.61715,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011656,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011659,
1.40038,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011661,
1.09337,µm,Spine,Spine Part Max Diameter,7,4,1,100000005,610000011665,
1.45833,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011670,
1.20397,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011673,
1.25,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011678,
0.625,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011680,
0.859889,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011700,
0.90726,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011705,
1.18126,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011716,
0.93869,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011718,
1.66667,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011728,
1.53545,µm,Spine,Spine Part Max Diameter,1,1,1,100000004,610000011760,
0.887037,µm,Spine,Spine Part Max Diameter,8,3,1,100000006,610000011764,
0.975951,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011820,
1.12026,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011821,
0.572917,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000011822,
0.833333,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000011823,
0.754905,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011824,
1.30993,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011825,
0.936935,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000011826,
0.894927,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011827,
0.933941,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011828,
1.17349,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000011829,
0.989282,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000011830,
1.05264,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000011831,
0.926653,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011832,
0.833333,µm,Spine,Spine Part Max Diameter,15,5,1,100000001,610000011834,
0.903731,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011835,
0.706239,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011836,
0.896591,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000011837,
0.89446,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000011838,
1.27314,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000011839,
1.27314,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000011840,
1.17904,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000011841,
1.106,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000011842,
1.01694,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000011843,
0.636956,µm,Spine,Spine Part Max Diameter,9,4,1,100000001,610000011844,
1.26894,µm,Spine,Spine Part Max Diameter,11,4,1,100000001,610000011845,
1.1782,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011846,
0.987629,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011847,
1.22042,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011848,
1.1134,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011849,
0.956068,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011850,
0.878889,µm,Spine,Spine Part Max Diameter,13,5,1,100000001,610000011851,
1.71446,µm,Spine,Spine Part Max Diameter,13,4,1,100000001,610000011852,
0.897603,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000011853,
0.833333,µm,Spine,Spine Part Max Diameter,12,5,1,100000001,610000011854,
0.875013,µm,Spine,Spine Part Max Diameter,14,7,1,100000001,610000011855,
0.752138,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000011856,
1.29387,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011857,
0.864273,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000011858,
1.31735,µm,Spine,Spine Part Max Diameter,6,1,1,100000001,610000011859,
1.32812,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011860,
1.39264,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011861,
1.17854,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011862,
1.38559,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011863,
1.293,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000011865,
1.17586,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000011866,
1.08971,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000011867,
0.885243,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000011868,
1.20961,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011869,
0.957789,µm,Spine,Spine Part Max Diameter,4,3,1,100000001,610000011870,
1.40473,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011871,
1.23372,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000011872,
0.849576,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000011873,
0.833333,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011874,
1.00759,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011875,
1.04715,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011876,
1.03783,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011877,
1.1148,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011878,
0.869157,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000011879,
1.21488,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000011880,
0.935622,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000011881,
0.955557,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000011882,
1.35807,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011883,
1.35888,µm,Spine,Spine Part Max Diameter,9,4,1,100000002,610000011884,
1.46682,µm,Spine,Spine Part Max Diameter,9,4,1,100000002,610000011885,
1.49027,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000011886,
1.00961,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000011887,
0.706599,µm,Spine,Spine Part Max Diameter,5,4,1,100000002,610000011888,
0.667318,µm,Spine,Spine Part Max Diameter,5,4,1,100000002,610000011889,
0.938621,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000011890,
1.15575,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000011891,
0.848129,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011894,
1.02562,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000011895,
1.11805,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000011896,
1.40089,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011897,
1.41168,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011905,
0.732576,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011907,
1.20253,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000011908,
1.16114,µm,Spine,Spine Part Max Diameter,2,3,1,100000003,610000011909,
1.30349,µm,Spine,Spine Part Max Diameter,2,3,1,100000003,610000011910,
0.938669,µm,Spine,Spine Part Max Diameter,3,1,1,100000003,610000011911,
1.14452,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011912,
1.4101,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011913,
0.916275,µm,Spine,Spine Part Max Diameter,4,3,1,100000003,610000011914,
0.932791,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000011915,
1.1286,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000011916,
1.15743,µm,Spine,Spine Part Max Diameter,3,2,1,100000003,610000011917,
0.98751,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011918,
1.19338,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011919,
0.935026,µm,Spine,Spine Part Max Diameter,7,1,1,100000003,610000011921,
0.978968,µm,Spine,Spine Part Max Diameter,7,1,1,100000003,610000011922,
1.33302,µm,Spine,Spine Part Max Diameter,5,1,1,100000003,610000011923,
0.735957,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000011924,
0.857515,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000011925,
0.833333,µm,Spine,Spine Part Max Diameter,8,2,1,100000004,610000011927,
1.24438,µm,Spine,Spine Part Max Diameter,7,2,1,100000004,610000011928,
0.988919,µm,Spine,Spine Part Max Diameter,6,2,1,100000004,610000011929,
0.930831,µm,Spine,Spine Part Max Diameter,1,2,1,100000004,610000011930,
0.93069,µm,Spine,Spine Part Max Diameter,6,3,1,100000004,610000011931,
0.893851,µm,Spine,Spine Part Max Diameter,5,5,1,100000004,610000011932,
0.90481,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011933,
1.06196,µm,Spine,Spine Part Max Diameter,2,1,1,100000004,610000011934,
1.05073,µm,Spine,Spine Part Max Diameter,3,3,1,100000004,610000011935,
0.884386,µm,Spine,Spine Part Max Diameter,1,2,1,100000004,610000011936,
1.08292,µm,Spine,Spine Part Max Diameter,7,1,1,100000004,610000011937,
0.746083,µm,Spine,Spine Part Max Diameter,7,2,1,100000004,610000011938,
0.945111,µm,Spine,Spine Part Max Diameter,4,1,1,100000004,610000011939,
0.974713,µm,Spine,Spine Part Max Diameter,5,5,1,100000004,610000011940,
0.851301,µm,Spine,Spine Part Max Diameter,4,5,1,100000004,610000011941,
1.60232,µm,Spine,Spine Part Max Diameter,0,1,1,100000004,610000011942,
0.746204,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011944,
0.822413,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011945,
1.52239,µm,Spine,Spine Part Max Diameter,1,2,1,100000004,610000011946,
0.959216,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011947,
0.933806,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011948,
1.43094,µm,Spine,Spine Part Max Diameter,1,1,1,100000004,610000011949,
0.84323,µm,Spine,Spine Part Max Diameter,7,3,1,100000005,610000011950,
0.91733,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011951,
0.932887,µm,Spine,Spine Part Max Diameter,6,3,1,100000005,610000011952,
1.09688,µm,Spine,Spine Part Max Diameter,4,1,1,100000005,610000011953,
1.02562,µm,Spine,Spine Part Max Diameter,3,1,1,100000005,610000011954,
1.34861,µm,Spine,Spine Part Max Diameter,0,1,1,100000005,610000011955,
1.27219,µm,Spine,Spine Part Max Diameter,0,1,1,100000005,610000011956,
0.740189,µm,Spine,Spine Part Max Diameter,17,6,1,100000005,610000011957,
0.993732,µm,Spine,Spine Part Max Diameter,13,5,1,100000005,610000011958,
1.10332,µm,Spine,Spine Part Max Diameter,8,3,1,100000005,610000011959,
1.10332,µm,Spine,Spine Part Max Diameter,8,3,1,100000005,610000011960,
