
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
648.519,µm,Filament,1,100000000,
323.29,µm,Filament,1,100000001,
589.624,µm,Filament,1,100000002,
350.949,µm,Filament,1,100000003,
133.449,µm,Filament,1,100000004,
