
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,8,5,1,100000002,510000000017,
0,s,Segment,7,4,1,100000002,510000000020,
0,s,Segment,6,3,1,100000002,510000000079,
0,s,Segment,5,2,1,100000002,510000000091,
0,s,Segment,3,1,1,100000002,510000000186,
0,s,Segment,2,1,1,100000002,510000000190,
0,s,Segment,1,1,1,100000002,510000000196,
0,s,Segment,0,1,1,100000002,510000000214,
0,s,Segment,7,3,1,100000002,510000000231,
0,s,Segment,8,4,1,100000002,510000000233,
0,s,Segment,8,3,1,100000002,510000000249,
0,s,Segment,7,2,1,100000002,510000000259,
0,s,Segment,6,2,1,100000002,510000000263,
0,s,Segment,8,2,1,100000002,510000000270,
0,s,Segment,7,3,1,100000002,510000000273,
0,s,Segment,11,6,1,100000000,510000000292,
0,s,Segment,10,5,1,100000000,510000000295,
0,s,Segment,9,5,1,100000000,510000000297,
0,s,Segment,8,5,1,100000000,510000000302,
0,s,Segment,7,5,1,100000000,510000000305,
0,s,Segment,5,4,1,100000000,510000000346,
0,s,Segment,4,3,1,100000000,510000000348,
0,s,Segment,3,3,1,100000000,510000000355,
0,s,Segment,2,2,1,100000000,510000000373,
0,s,Segment,1,2,1,100000000,510000000375,
0,s,Segment,0,1,1,100000000,510000000392,
0,s,Segment,11,6,1,100000000,510000000413,
0,s,Segment,10,6,1,100000000,510000000421,
0,s,Segment,9,7,1,100000000,510000000428,
0,s,Segment,8,6,1,100000000,510000000430,
0,s,Segment,11,7,1,100000000,510000000433,
0,s,Segment,11,6,1,100000000,510000000435,
0,s,Segment,9,6,1,100000000,510000000439,
0,s,Segment,10,6,1,100000000,510000000444,
0,s,Segment,9,6,1,100000000,510000000446,
0,s,Segment,11,5,1,100000000,510000000448,
0,s,Segment,10,7,1,100000000,510000000452,
0,s,Segment,6,4,1,100000000,510000000459,
0,s,Segment,8,3,1,100000002,510000000465,
0,s,Segment,7,2,1,100000002,510000000468,
0,s,Segment,6,2,1,100000002,510000000474,
0,s,Segment,5,2,1,100000002,510000000480,
0,s,Segment,4,2,1,100000002,510000000482,
0,s,Segment,3,2,1,100000002,510000000542,
0,s,Segment,2,1,1,100000002,510000000554,
0,s,Segment,1,1,1,100000002,510000000565,
