
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-7765.4,µm,Spine,Spine Position,7,2,1,100000002,610000005272,
-7672.83,µm,Spine,Spine Position,1,1,1,100000003,610000005287,
-7765.32,µm,Spine,Spine Position,7,2,1,100000002,610000005298,
-7672.49,µm,Spine,Spine Position,1,1,1,100000003,610000005310,
-7662.68,µm,Spine,Spine Position,9,5,1,100000001,610000005316,
-7680.18,µm,Spine,Spine Position,0,1,1,100000003,610000005334,
-7729.57,µm,Spine,Spine Position,5,1,1,100000002,610000005338,
-7680.29,µm,Spine,Spine Position,0,1,1,100000003,610000005355,
-7672.26,µm,Spine,Spine Position,1,1,1,100000003,610000005365,
-7680.53,µm,Spine,Spine Position,0,1,1,100000003,610000005379,
-7756.1,µm,Spine,Spine Position,16,6,1,100000000,610000005382,
-7767.85,µm,Spine,Spine Position,8,5,1,100000002,610000005386,
-7660.04,µm,Spine,Spine Position,10,8,1,100000001,610000005391,
-7757.44,µm,Spine,Spine Position,8,3,1,100000002,610000005394,
-7745.49,µm,Spine,Spine Position,3,3,1,100000002,610000005397,
-7750.48,µm,Spine,Spine Position,10,4,1,100000000,610000005399,
-7751.99,µm,Spine,Spine Position,6,2,1,100000002,610000005401,
-7740.9,µm,Spine,Spine Position,2,1,1,100000004,610000005405,
-7651.64,µm,Spine,Spine Position,1,1,1,100000001,610000005409,
-7745.36,µm,Spine,Spine Position,3,3,1,100000002,610000005411,
-7734.35,µm,Spine,Spine Position,0,1,1,100000004,610000005418,
-7740.78,µm,Spine,Spine Position,6,2,1,100000002,610000005420,
-7646.61,µm,Spine,Spine Position,10,6,1,100000001,610000005438,
-7743.4,µm,Spine,Spine Position,7,4,1,100000000,610000005441,
-7646.72,µm,Spine,Spine Position,10,6,1,100000001,610000005456,
-7644.63,µm,Spine,Spine Position,10,6,1,100000001,610000005474,
-7681.45,µm,Spine,Spine Position,0,1,1,100000003,610000005480,
-7659.66,µm,Spine,Spine Position,10,8,1,100000001,610000005485,
-7644.5,µm,Spine,Spine Position,10,6,1,100000001,610000005504,
-7723.53,µm,Spine,Spine Position,5,1,1,100000002,610000005506,
-7743.19,µm,Spine,Spine Position,7,5,1,100000000,610000005508,
-7686.09,µm,Spine,Spine Position,9,4,1,100000003,610000005517,
-7734.12,µm,Spine,Spine Position,0,1,1,100000004,610000005525,
-7645.02,µm,Spine,Spine Position,10,6,1,100000001,610000005530,
-7752.51,µm,Spine,Spine Position,18,8,1,100000000,610000005533,
-7646.49,µm,Spine,Spine Position,10,6,1,100000001,610000005538,
-7723.27,µm,Spine,Spine Position,7,4,1,100000000,610000005543,
-7647.51,µm,Spine,Spine Position,10,6,1,100000001,610000005550,
-7683.11,µm,Spine,Spine Position,2,3,1,100000003,610000005558,
-7646.59,µm,Spine,Spine Position,10,6,1,100000001,610000005569,
-7745.23,µm,Spine,Spine Position,6,2,1,100000002,610000005573,
-7659.12,µm,Spine,Spine Position,10,8,1,100000001,610000005575,
-7758.18,µm,Spine,Spine Position,5,1,1,100000002,610000005578,
-7646.68,µm,Spine,Spine Position,10,6,1,100000001,610000005585,
-7648.32,µm,Spine,Spine Position,10,6,1,100000001,610000005596,
-7728.14,µm,Spine,Spine Position,0,1,1,100000004,610000005602,
-7646.88,µm,Spine,Spine Position,10,6,1,100000001,610000005606,
-7687.48,µm,Spine,Spine Position,0,1,1,100000003,610000005611,
-7728.47,µm,Spine,Spine Position,0,1,1,100000004,610000005618,
-7740.42,µm,Spine,Spine Position,1,1,1,100000002,610000005624,
-7687.46,µm,Spine,Spine Position,0,1,1,100000003,610000005628,
-7738.46,µm,Spine,Spine Position,1,1,1,100000000,610000005633,
-7752.96,µm,Spine,Spine Position,18,8,1,100000000,610000005637,
-7749.2,µm,Spine,Spine Position,5,2,1,100000004,610000005641,
-7749.04,µm,Spine,Spine Position,3,1,1,100000002,610000005650,
-7648.31,µm,Spine,Spine Position,10,6,1,100000001,610000005658,
-7648.78,µm,Spine,Spine Position,10,6,1,100000001,610000005666,
-7744.79,µm,Spine,Spine Position,2,3,1,100000004,610000005668,
-7727.92,µm,Spine,Spine Position,0,1,1,100000004,610000005675,
-7723.04,µm,Spine,Spine Position,7,4,1,100000000,610000005678,
-7729.61,µm,Spine,Spine Position,0,1,1,100000004,610000005681,
-7720.72,µm,Spine,Spine Position,7,4,1,100000000,610000005688,
-7685.62,µm,Spine,Spine Position,9,4,1,100000003,610000005695,
-7651.88,µm,Spine,Spine Position,4,3,1,100000001,610000005699,
-7762.45,µm,Spine,Spine Position,6,2,1,100000002,610000005702,
-7688.8,µm,Spine,Spine Position,0,1,1,100000003,610000005709,
-7742.03,µm,Spine,Spine Position,1,1,1,100000002,610000005713,
-7728.34,µm,Spine,Spine Position,0,1,1,100000004,610000005720,
-7644.68,µm,Spine,Spine Position,10,6,1,100000001,610000005725,
-7728.86,µm,Spine,Spine Position,0,1,1,100000004,610000005728,
-7745.32,µm,Spine,Spine Position,6,2,1,100000002,610000005733,
-7680.73,µm,Spine,Spine Position,3,4,1,100000003,610000005736,
-7749.93,µm,Spine,Spine Position,2,2,1,100000002,610000005738,
-7731.27,µm,Spine,Spine Position,0,1,1,100000004,610000005745,
-7646.92,µm,Spine,Spine Position,10,6,1,100000001,610000005750,
-7739.22,µm,Spine,Spine Position,1,1,1,100000002,610000005755,
-7720.43,µm,Spine,Spine Position,6,3,1,100000000,610000005758,
-7645.78,µm,Spine,Spine Position,10,6,1,100000001,610000005762,
-7648.58,µm,Spine,Spine Position,10,6,1,100000001,610000005767,
-7684.52,µm,Spine,Spine Position,9,4,1,100000003,610000005772,
-7647.55,µm,Spine,Spine Position,10,6,1,100000001,610000005777,
-7683.56,µm,Spine,Spine Position,2,2,1,100000003,610000005781,
-7662.34,µm,Spine,Spine Position,8,5,1,100000001,610000005786,
-7648.86,µm,Spine,Spine Position,10,6,1,100000001,610000005791,
-7728.12,µm,Spine,Spine Position,0,1,1,100000004,610000005796,
-7747.18,µm,Spine,Spine Position,6,1,1,100000004,610000005802,
-7646.73,µm,Spine,Spine Position,10,6,1,100000001,610000005806,
-7720.86,µm,Spine,Spine Position,7,4,1,100000000,610000005812,
-7691.18,µm,Spine,Spine Position,2,2,1,100000003,610000005814,
-7722.33,µm,Spine,Spine Position,8,5,1,100000000,610000005816,
-7740.8,µm,Spine,Spine Position,1,1,1,100000002,610000005818,
-7684.34,µm,Spine,Spine Position,9,4,1,100000003,610000005823,
-7648.08,µm,Spine,Spine Position,10,6,1,100000001,610000005828,
-7721.18,µm,Spine,Spine Position,8,3,1,100000000,610000005830,
-7740.23,µm,Spine,Spine Position,1,1,1,100000002,610000005838,
-7766.88,µm,Spine,Spine Position,7,3,1,100000002,610000005842,
-7691.27,µm,Spine,Spine Position,2,2,1,100000003,610000005844,
-7739.86,µm,Spine,Spine Position,1,1,1,100000002,610000005852,
-7743.42,µm,Spine,Spine Position,0,1,1,100000002,610000005855,
-7649,µm,Spine,Spine Position,10,6,1,100000001,610000005859,
-7683.59,µm,Spine,Spine Position,2,2,1,100000003,610000005865,
-7687.33,µm,Spine,Spine Position,0,1,1,100000003,610000005868,
-7646.9,µm,Spine,Spine Position,10,6,1,100000001,610000005872,
-7647.86,µm,Spine,Spine Position,10,6,1,100000001,610000005875,
-7749.85,µm,Spine,Spine Position,5,2,1,100000004,610000005881,
-7720.69,µm,Spine,Spine Position,6,3,1,100000000,610000005883,
-7735.8,µm,Spine,Spine Position,1,1,1,100000002,610000005887,
-7723.21,µm,Spine,Spine Position,6,3,1,100000000,610000005890,
-7682.43,µm,Spine,Spine Position,0,1,1,100000003,610000005893,
-7728.3,µm,Spine,Spine Position,0,1,1,100000004,610000005895,
-7648.56,µm,Spine,Spine Position,10,6,1,100000001,610000005900,
-7736.8,µm,Spine,Spine Position,1,1,1,100000002,610000005902,
-7721.35,µm,Spine,Spine Position,7,3,1,100000000,610000005904,
-7748.48,µm,Spine,Spine Position,3,1,1,100000002,610000005909,
-7645.47,µm,Spine,Spine Position,10,6,1,100000001,610000005913,
-7648.78,µm,Spine,Spine Position,10,6,1,100000001,610000005918,
-7765.01,µm,Spine,Spine Position,7,3,1,100000002,610000005923,
-7732.3,µm,Spine,Spine Position,0,1,1,100000004,610000005925,
-7737.3,µm,Spine,Spine Position,1,1,1,100000002,610000005927,
-7741.64,µm,Spine,Spine Position,1,1,1,100000002,610000005930,
-7740.47,µm,Spine,Spine Position,1,1,1,100000002,610000005932,
-7742.47,µm,Spine,Spine Position,1,1,1,100000002,610000005934,
-7648.28,µm,Spine,Spine Position,10,6,1,100000001,610000005937,
-7735.82,µm,Spine,Spine Position,0,1,1,100000004,610000005944,
-7741.8,µm,Spine,Spine Position,1,1,1,100000002,610000005946,
-7648.8,µm,Spine,Spine Position,10,6,1,100000001,610000005954,
-7735.64,µm,Spine,Spine Position,0,1,1,100000004,610000005956,
-7735.97,µm,Spine,Spine Position,1,1,1,100000002,610000005959,
-7742.05,µm,Spine,Spine Position,1,1,1,100000002,610000005964,
-7688.92,µm,Spine,Spine Position,1,1,1,100000003,610000005966,
-7738.14,µm,Spine,Spine Position,1,1,1,100000002,610000005969,
-7647.8,µm,Spine,Spine Position,10,6,1,100000001,610000005973,
-7646.97,µm,Spine,Spine Position,10,6,1,100000001,610000005975,
-7738.69,µm,Spine,Spine Position,0,1,1,100000002,610000005977,
-7749.53,µm,Spine,Spine Position,5,2,1,100000004,610000005982,
-7647.97,µm,Spine,Spine Position,10,6,1,100000001,610000005986,
-7657.45,µm,Spine,Spine Position,12,8,1,100000001,610000005990,
-7739.97,µm,Spine,Spine Position,1,1,1,100000002,610000005993,
-7737.97,µm,Spine,Spine Position,1,1,1,100000002,610000005995,
-7742.5,µm,Spine,Spine Position,2,3,1,100000002,610000005997,
