
Overall
 ==================== 
Variable,Value,Unit,Image,Time,ID,
Filament Number of Filaments per Time Point,5,,,1,,
Filament Number of Tracks,0,,,,,
Filament Total Number of Filaments,5,,,,,
Pt Number of Tracks,0,,,,,
Pt Total Number of Points,943,,,,,
Soma Number of Disconnected Components per Time Point,5,,,1,,
Soma Number of Somas per Time Point,5,,,1,,
Soma Number of Tracks,0,,,,,
Soma Total Number of Disconnected Components,5,,,,,
Soma Total Number of Somas,5,,,,,
Soma Total Number of Triangles,44272,,,,,
Soma Total Number of Voxels,54482,,Image 1,,,
