
Spine Volume
 ==================== 
Spine Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.629457,µm^3,Spine,6,3,1,100000000,610000005883,
1.64259,µm^3,Spine,1,1,1,100000002,610000005887,
0.0511444,µm^3,Spine,6,3,1,100000000,610000005890,
0.86745,µm^3,Spine,0,1,1,100000003,610000005893,
3.3147,µm^3,Spine,0,1,1,100000004,610000005895,
0.311142,µm^3,Spine,10,6,1,100000001,610000005900,
0.516271,µm^3,Spine,1,1,1,100000002,610000005902,
0.525482,µm^3,Spine,7,3,1,100000000,610000005904,
1.3342,µm^3,Spine,3,1,1,100000002,610000005909,
0.654255,µm^3,Spine,10,6,1,100000001,610000005913,
0.147406,µm^3,Spine,10,6,1,100000001,610000005918,
0.713655,µm^3,Spine,7,3,1,100000002,610000005923,
1.08333,µm^3,Spine,0,1,1,100000004,610000005925,
0.0591156,µm^3,Spine,1,1,1,100000002,610000005927,
0.477467,µm^3,Spine,1,1,1,100000002,610000005930,
0.0711489,µm^3,Spine,1,1,1,100000002,610000005932,
0.240501,µm^3,Spine,1,1,1,100000002,610000005934,
0.29118,µm^3,Spine,10,6,1,100000001,610000005937,
1.99049,µm^3,Spine,0,1,1,100000004,610000005944,
0.500975,µm^3,Spine,1,1,1,100000002,610000005946,
0.103241,µm^3,Spine,10,6,1,100000001,610000005954,
0.250522,µm^3,Spine,0,1,1,100000004,610000005956,
1.08375,µm^3,Spine,1,1,1,100000002,610000005959,
0.120184,µm^3,Spine,1,1,1,100000002,610000005964,
0.372641,µm^3,Spine,1,1,1,100000003,610000005966,
0.0625223,µm^3,Spine,1,1,1,100000002,610000005969,
0.196556,µm^3,Spine,10,6,1,100000001,610000005973,
0.0609213,µm^3,Spine,10,6,1,100000001,610000005975,
0.680198,µm^3,Spine,0,1,1,100000002,610000005977,
3.36336,µm^3,Spine,5,2,1,100000004,610000005982,
0.501642,µm^3,Spine,10,6,1,100000001,610000005986,
0.728292,µm^3,Spine,12,8,1,100000001,610000005990,
0.043746,µm^3,Spine,1,1,1,100000002,610000005993,
0.0539521,µm^3,Spine,1,1,1,100000002,610000005995,
0.587386,µm^3,Spine,2,3,1,100000002,610000005997,
0.0830683,µm^3,Spine,1,1,1,100000002,610000006000,
0.0285954,µm^3,Spine,10,6,1,100000001,610000006003,
1.29051,µm^3,Spine,9,4,1,100000003,610000006005,
0.168144,µm^3,Spine,10,6,1,100000001,610000006009,
0.124578,µm^3,Spine,1,1,1,100000002,610000006021,
0.0202684,µm^3,Spine,1,1,1,100000002,610000006028,
0.0527292,µm^3,Spine,1,1,1,100000002,610000006032,
0.374005,µm^3,Spine,11,6,1,100000000,610000006061,
0.103982,µm^3,Spine,11,6,1,100000000,610000006062,
0.205807,µm^3,Spine,5,3,1,100000000,610000006063,
0.466435,µm^3,Spine,2,2,1,100000000,610000006064,
0.107891,µm^3,Spine,21,11,1,100000000,610000006065,
0.287908,µm^3,Spine,21,9,1,100000000,610000006066,
0.211916,µm^3,Spine,18,8,1,100000000,610000006067,
0.367106,µm^3,Spine,17,7,1,100000000,610000006068,
0.144005,µm^3,Spine,16,6,1,100000000,610000006069,
0.12615,µm^3,Spine,16,6,1,100000000,610000006070,
0.0882466,µm^3,Spine,16,6,1,100000000,610000006071,
0.166622,µm^3,Spine,16,6,1,100000000,610000006072,
1.02302,µm^3,Spine,16,5,1,100000000,610000006073,
0.0733424,µm^3,Spine,16,5,1,100000000,610000006074,
0.155919,µm^3,Spine,14,5,1,100000000,610000006075,
0.412172,µm^3,Spine,12,4,1,100000000,610000006076,
0.314785,µm^3,Spine,8,4,1,100000000,610000006077,
0.11407,µm^3,Spine,14,6,1,100000000,610000006078,
0.166507,µm^3,Spine,13,7,1,100000000,610000006079,
0.129791,µm^3,Spine,14,7,1,100000000,610000006080,
0.26399,µm^3,Spine,11,6,1,100000000,610000006081,
0.199116,µm^3,Spine,8,4,1,100000000,610000006082,
0.320086,µm^3,Spine,6,4,1,100000000,610000006083,
0.146038,µm^3,Spine,6,3,1,100000000,610000006084,
0.315878,µm^3,Spine,2,2,1,100000000,610000006085,
0.254873,µm^3,Spine,2,2,1,100000000,610000006086,
0.460169,µm^3,Spine,1,1,1,100000000,610000006087,
0.112866,µm^3,Spine,1,1,1,100000000,610000006088,
0.245531,µm^3,Spine,11,8,1,100000000,610000006089,
0.546704,µm^3,Spine,9,7,1,100000000,610000006090,
0.466804,µm^3,Spine,5,5,1,100000000,610000006091,
0.293138,µm^3,Spine,7,3,1,100000000,610000006092,
0.352585,µm^3,Spine,5,3,1,100000000,610000006093,
0.275127,µm^3,Spine,5,3,1,100000000,610000006094,
0.109827,µm^3,Spine,4,3,1,100000000,610000006095,
0.40786,µm^3,Spine,3,3,1,100000000,610000006096,
0.857545,µm^3,Spine,6,4,1,100000000,610000006097,
1.90279,µm^3,Spine,7,4,1,100000000,610000006098,
0.695801,µm^3,Spine,7,4,1,100000000,610000006099,
1.10825,µm^3,Spine,7,4,1,100000000,610000006100,
1.1925,µm^3,Spine,7,4,1,100000000,610000006101,
2.98237,µm^3,Spine,7,4,1,100000000,610000006102,
2.32933,µm^3,Spine,6,3,1,100000000,610000006103,
0.568126,µm^3,Spine,6,3,1,100000000,610000006104,
1.21035,µm^3,Spine,6,3,1,100000000,610000006105,
0.170505,µm^3,Spine,6,3,1,100000000,610000006106,
0.78624,µm^3,Spine,4,3,1,100000000,610000006107,
0.697964,µm^3,Spine,4,3,1,100000000,610000006108,
1.62616,µm^3,Spine,4,3,1,100000000,610000006109,
0.174342,µm^3,Spine,4,3,1,100000000,610000006110,
0.157127,µm^3,Spine,3,3,1,100000000,610000006111,
0.148675,µm^3,Spine,11,4,1,100000001,610000006112,
0.164009,µm^3,Spine,11,3,1,100000001,610000006113,
0.478566,µm^3,Spine,10,3,1,100000001,610000006114,
0.147781,µm^3,Spine,11,5,1,100000001,610000006115,
0.148406,µm^3,Spine,11,5,1,100000001,610000006116,
0.144664,µm^3,Spine,11,5,1,100000001,610000006117,
0.324414,µm^3,Spine,8,5,1,100000001,610000006118,
1.67923,µm^3,Spine,3,2,1,100000001,610000006119,
0.979578,µm^3,Spine,0,1,1,100000001,610000006120,
0.9008,µm^3,Spine,0,1,1,100000001,610000006121,
0.312674,µm^3,Spine,10,6,1,100000001,610000006127,
0.177424,µm^3,Spine,10,6,1,100000001,610000006128,
0.322451,µm^3,Spine,13,8,1,100000001,610000006129,
0.203328,µm^3,Spine,14,9,1,100000001,610000006130,
0.189907,µm^3,Spine,11,9,1,100000001,610000006131,
0.109886,µm^3,Spine,10,8,1,100000001,610000006132,
0.188984,µm^3,Spine,10,8,1,100000001,610000006133,
0.343736,µm^3,Spine,10,8,1,100000001,610000006134,
0.23036,µm^3,Spine,10,8,1,100000001,610000006135,
0.462956,µm^3,Spine,10,7,1,100000001,610000006136,
0.722214,µm^3,Spine,9,7,1,100000001,610000006137,
0.304177,µm^3,Spine,9,6,1,100000001,610000006138,
0.345175,µm^3,Spine,8,5,1,100000001,610000006139,
0.180853,µm^3,Spine,8,5,1,100000001,610000006140,
0.0805014,µm^3,Spine,5,1,1,100000002,610000006144,
0.393176,µm^3,Spine,2,2,1,100000002,610000006145,
0.449793,µm^3,Spine,2,2,1,100000002,610000006146,
0.680058,µm^3,Spine,2,2,1,100000002,610000006147,
0.784995,µm^3,Spine,1,2,1,100000002,610000006148,
1.44106,µm^3,Spine,0,1,1,100000002,610000006149,
0.196338,µm^3,Spine,14,9,1,100000002,610000006152,
0.180345,µm^3,Spine,12,9,1,100000002,610000006153,
1.03631,µm^3,Spine,12,9,1,100000002,610000006154,
0.115055,µm^3,Spine,12,8,1,100000002,610000006155,
0.578594,µm^3,Spine,12,8,1,100000002,610000006156,
0.159787,µm^3,Spine,13,9,1,100000002,610000006157,
0.107548,µm^3,Spine,0,1,1,100000002,610000006158,
0.49712,µm^3,Spine,1,1,1,100000002,610000006159,
0.59339,µm^3,Spine,1,2,1,100000002,610000006160,
0.713368,µm^3,Spine,0,1,1,100000002,610000006161,
0.52004,µm^3,Spine,6,2,1,100000002,610000006162,
0.802451,µm^3,Spine,0,1,1,100000002,610000006163,
0.1102,µm^3,Spine,5,1,1,100000002,610000006164,
0.307487,µm^3,Spine,3,1,1,100000002,610000006165,
0.691612,µm^3,Spine,0,1,1,100000002,610000006166,
0.180896,µm^3,Spine,3,2,1,100000002,610000006172,
0.136221,µm^3,Spine,1,1,1,100000002,610000006173,
1.11853,µm^3,Spine,9,4,1,100000003,610000006175,
0.171075,µm^3,Spine,7,4,1,100000003,610000006176,
0.640984,µm^3,Spine,7,4,1,100000003,610000006177,
0.125845,µm^3,Spine,8,4,1,100000003,610000006178,
0.8758,µm^3,Spine,7,3,1,100000003,610000006179,
1.62522,µm^3,Spine,5,3,1,100000003,610000006180,
2.40719,µm^3,Spine,4,3,1,100000003,610000006181,
0.27382,µm^3,Spine,6,4,1,100000003,610000006182,
0.334805,µm^3,Spine,3,4,1,100000003,610000006183,
0.527803,µm^3,Spine,0,1,1,100000003,610000006184,
0.797578,µm^3,Spine,0,1,1,100000003,610000006185,
0.960549,µm^3,Spine,0,1,1,100000003,610000006186,
0.226922,µm^3,Spine,5,2,1,100000003,610000006187,
0.101089,µm^3,Spine,4,1,1,100000003,610000006188,
0.890886,µm^3,Spine,8,3,1,100000003,610000006189,
0.143509,µm^3,Spine,2,1,1,100000003,610000006190,
0.564456,µm^3,Spine,1,1,1,100000003,610000006191,
0.19197,µm^3,Spine,1,1,1,100000003,610000006192,
0.36882,µm^3,Spine,0,1,1,100000003,610000006193,
0.419909,µm^3,Spine,4,3,1,100000004,610000006195,
0.288256,µm^3,Spine,4,3,1,100000004,610000006196,
0.454949,µm^3,Spine,3,4,1,100000004,610000006197,
0.234981,µm^3,Spine,1,2,1,100000004,610000006198,
1.80391,µm^3,Spine,5,2,1,100000004,610000006199,
0.831652,µm^3,Spine,5,2,1,100000004,610000006200,
0.401556,µm^3,Spine,6,1,1,100000004,610000006201,
0.208517,µm^3,Spine,2,1,1,100000004,610000006204,
1.27769,µm^3,Spine,0,1,1,100000004,610000006205,
0.561327,µm^3,Spine,0,1,1,100000004,610000006206,
