
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1515.15,µm,Spine,Spine Terminal Pt Position,7,2,1,100000002,610000005272,
1503.15,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000005287,
1515.65,µm,Spine,Spine Terminal Pt Position,7,2,1,100000002,610000005298,
1503.07,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000005310,
1506.15,µm,Spine,Spine Terminal Pt Position,9,5,1,100000001,610000005316,
1503.15,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000005334,
1520.15,µm,Spine,Spine Terminal Pt Position,5,1,1,100000002,610000005338,
1503.15,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000005355,
1503.15,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000005365,
1503.15,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000005379,
1512.65,µm,Spine,Spine Terminal Pt Position,16,6,1,100000000,610000005382,
1509.65,µm,Spine,Spine Terminal Pt Position,8,5,1,100000002,610000005386,
1509.15,µm,Spine,Spine Terminal Pt Position,10,8,1,100000001,610000005391,
1516.65,µm,Spine,Spine Terminal Pt Position,8,3,1,100000002,610000005394,
1508.15,µm,Spine,Spine Terminal Pt Position,3,3,1,100000002,610000005397,
1514.65,µm,Spine,Spine Terminal Pt Position,10,4,1,100000000,610000005399,
1519.15,µm,Spine,Spine Terminal Pt Position,6,2,1,100000002,610000005401,
1517.65,µm,Spine,Spine Terminal Pt Position,2,1,1,100000004,610000005405,
1516.15,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000005409,
1507.65,µm,Spine,Spine Terminal Pt Position,3,3,1,100000002,610000005411,
1516.65,µm,Spine,Spine Terminal Pt Position,,,1,,610000005413,
1522.55,µm,Spine,Spine Terminal Pt Position,6,2,1,100000002,610000005420,
1513.15,µm,Spine,Spine Terminal Pt Position,,,1,,610000005422,
1510.65,µm,Spine,Spine Terminal Pt Position,7,4,1,100000000,610000005441,
