
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.38012,µm,Segment,8,5,1,100000002,510000000017,
1.63715,µm,Segment,7,4,1,100000002,510000000020,
14.7844,µm,Segment,6,3,1,100000002,510000000079,
6.32482,µm,Segment,5,2,1,100000002,510000000091,
25.376,µm,Segment,3,1,1,100000002,510000000186,
1.61785,µm,Segment,2,1,1,100000002,510000000190,
2.10743,µm,Segment,1,1,1,100000002,510000000196,
1.79709,µm,Segment,0,1,1,100000002,510000000214,
5.34563,µm,Segment,7,3,1,100000002,510000000231,
1.54864,µm,Segment,8,4,1,100000002,510000000233,
4.6533,µm,Segment,8,3,1,100000002,510000000249,
2.93187,µm,Segment,7,2,1,100000002,510000000259,
2.72122,µm,Segment,6,2,1,100000002,510000000263,
2.09954,µm,Segment,8,2,1,100000002,510000000270,
1.81557,µm,Segment,7,3,1,100000002,510000000273,
6.87404,µm,Segment,11,6,1,100000000,510000000292,
1.31853,µm,Segment,10,5,1,100000000,510000000295,
0.786537,µm,Segment,9,5,1,100000000,510000000297,
2.4414,µm,Segment,8,5,1,100000000,510000000302,
1.87439,µm,Segment,7,5,1,100000000,510000000305,
12.672,µm,Segment,5,4,1,100000000,510000000346,
0.88504,µm,Segment,4,3,1,100000000,510000000348,
2.46963,µm,Segment,3,3,1,100000000,510000000355,
7.25761,µm,Segment,2,2,1,100000000,510000000373,
0.582647,µm,Segment,1,2,1,100000000,510000000375,
3.44259,µm,Segment,0,1,1,100000000,510000000392,
9.44579,µm,Segment,11,6,1,100000000,510000000413,
5.59626,µm,Segment,10,6,1,100000000,510000000421,
4.56455,µm,Segment,9,7,1,100000000,510000000428,
1.47146,µm,Segment,8,6,1,100000000,510000000430,
2.04405,µm,Segment,11,7,1,100000000,510000000433,
1.5386,µm,Segment,11,6,1,100000000,510000000435,
3.39825,µm,Segment,9,6,1,100000000,510000000439,
1.70105,µm,Segment,10,6,1,100000000,510000000444,
1.41376,µm,Segment,9,6,1,100000000,510000000446,
1.61472,µm,Segment,11,5,1,100000000,510000000448,
1.92217,µm,Segment,10,7,1,100000000,510000000452,
2.37442,µm,Segment,6,4,1,100000000,510000000459,
2.18202,µm,Segment,8,3,1,100000002,510000000465,
1.09279,µm,Segment,7,2,1,100000002,510000000468,
2.21961,µm,Segment,6,2,1,100000002,510000000474,
2.91647,µm,Segment,5,2,1,100000002,510000000480,
0.592825,µm,Segment,4,2,1,100000002,510000000482,
15.7865,µm,Segment,3,2,1,100000002,510000000542,
3.44211,µm,Segment,2,1,1,100000002,510000000554,
3.37065,µm,Segment,1,1,1,100000002,510000000565,
7.645,µm,Segment,0,1,1,100000002,510000000592,
3.76631,µm,Segment,8,4,1,100000002,510000000611,
3.2895,µm,Segment,7,3,1,100000002,510000000618,
0.752985,µm,Segment,6,3,1,100000002,510000000620,
