
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
92,,Filament,1,100000000,
39,,Filament,1,100000001,
70,,Filament,1,100000002,
31,,Filament,1,100000003,
12,,Filament,1,100000004,
