
Spine Part Min Diameter Ground
 ==================== 
Spine Part Min Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.669719,µm,Spine,Spine Part Min Diameter,7,2,1,100000002,610000005272,
0.468993,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000005287,
0.687529,µm,Spine,Spine Part Min Diameter,7,2,1,100000002,610000005298,
0.468993,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000005310,
0.472805,µm,Spine,Spine Part Min Diameter,9,5,1,100000001,610000005316,
0.425653,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005334,
0.478405,µm,Spine,Spine Part Min Diameter,5,1,1,100000002,610000005338,
0.425653,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005355,
0.468993,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000005365,
0.425653,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005379,
0.416667,µm,Spine,Spine Part Min Diameter,16,6,1,100000000,610000005382,
0.416667,µm,Spine,Spine Part Min Diameter,8,5,1,100000002,610000005386,
0.873097,µm,Spine,Spine Part Min Diameter,10,8,1,100000001,610000005391,
0.680025,µm,Spine,Spine Part Min Diameter,8,3,1,100000002,610000005394,
0.685641,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000005397,
0.801947,µm,Spine,Spine Part Min Diameter,10,4,1,100000000,610000005399,
0.934245,µm,Spine,Spine Part Min Diameter,6,2,1,100000002,610000005401,
0.416667,µm,Spine,Spine Part Min Diameter,2,1,1,100000004,610000005405,
0.909325,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000005409,
0.685641,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000005411,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005418,
0.829865,µm,Spine,Spine Part Min Diameter,6,2,1,100000002,610000005420,
0.691458,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005438,
0.611817,µm,Spine,Spine Part Min Diameter,7,4,1,100000000,610000005441,
0.809434,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005456,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005474,
0.425653,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005480,
0.882053,µm,Spine,Spine Part Min Diameter,10,8,1,100000001,610000005485,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005504,
0.947579,µm,Spine,Spine Part Min Diameter,5,1,1,100000002,610000005506,
0.567974,µm,Spine,Spine Part Min Diameter,7,5,1,100000000,610000005508,
0.416667,µm,Spine,Spine Part Min Diameter,9,4,1,100000003,610000005517,
0.687282,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005525,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005530,
0.674537,µm,Spine,Spine Part Min Diameter,18,8,1,100000000,610000005533,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005538,
1.07806,µm,Spine,Spine Part Min Diameter,7,4,1,100000000,610000005543,
0.511551,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005550,
0.745443,µm,Spine,Spine Part Min Diameter,2,3,1,100000003,610000005558,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005569,
0.625,µm,Spine,Spine Part Min Diameter,6,2,1,100000002,610000005573,
0.557173,µm,Spine,Spine Part Min Diameter,10,8,1,100000001,610000005575,
0.947376,µm,Spine,Spine Part Min Diameter,5,1,1,100000002,610000005578,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005585,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005596,
0.930038,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005602,
0.701598,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005606,
1.00124,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005611,
1.36585,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005618,
0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000005624,
1.00124,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005628,
0.724263,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000005633,
0.657552,µm,Spine,Spine Part Min Diameter,18,8,1,100000000,610000005637,
0.416667,µm,Spine,Spine Part Min Diameter,5,2,1,100000004,610000005641,
0.725987,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000005650,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005658,
0.616284,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005666,
0.807774,µm,Spine,Spine Part Min Diameter,2,3,1,100000004,610000005668,
0.918444,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005675,
1.07806,µm,Spine,Spine Part Min Diameter,7,4,1,100000000,610000005678,
0.542806,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005681,
0.936415,µm,Spine,Spine Part Min Diameter,7,4,1,100000000,610000005688,
1.17498,µm,Spine,Spine Part Min Diameter,9,4,1,100000003,610000005695,
0.833333,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000005699,
0.865323,µm,Spine,Spine Part Min Diameter,6,2,1,100000002,610000005702,
1.30183,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000005709,
0.486668,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000005713,
0.496296,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005720,
1.17732,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005725,
0.926921,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005728,
0.872378,µm,Spine,Spine Part Min Diameter,6,2,1,100000002,610000005733,
0.833333,µm,Spine,Spine Part Min Diameter,3,4,1,100000003,610000005736,
0.745142,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000005738,
0.795492,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000005745,
0.959857,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005750,
0.418604,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000005755,
1.20178,µm,Spine,Spine Part Min Diameter,6,3,1,100000000,610000005758,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005762,
0.416667,µm,Spine,Spine Part Min Diameter,10,6,1,100000001,610000005767,
0.416667,µm,Spine,Spine Part Min Diameter,9,4,1,100000003,610000005772,
