
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
24820.7,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
24781.4,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000001,
24779.1,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000002,800000002,
24756.2,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000003,800000003,
24741.3,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000004,800000004,
24805.3,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000005,
24803.1,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000006,
24802.3,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000007,
24802.2,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000008,
24801.4,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000009,
24801.3,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000010,
24801.4,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000011,
24810.4,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000012,
24811.3,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000013,
24813.7,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000014,
24818.5,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000015,
24819,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000016,
24802.7,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000017,
24802.6,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000018,
24798,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000000,800000019,
24800.1,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000020,
24802.5,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000021,
24804.4,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000022,
24798.8,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000000,800000023,
24804.1,µm,Point,Pt Distance from Origin,10,1,Segment Terminal,100000000,800000024,
24803.1,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000025,
24802.9,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000026,
24802.8,µm,Point,Pt Distance from Origin,10,1,Segment Terminal,100000000,800000027,
24800.5,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000028,
24800.2,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000029,
24804.8,µm,Point,Pt Distance from Origin,21,1,Segment Terminal,100000000,800000030,
24805,µm,Point,Pt Distance from Origin,20,1,Segment Branch,100000000,800000031,
24806.9,µm,Point,Pt Distance from Origin,19,1,Segment Branch,100000000,800000032,
24807.5,µm,Point,Pt Distance from Origin,18,1,Segment Branch,100000000,800000033,
24808.1,µm,Point,Pt Distance from Origin,18,1,Segment,100000000,800000034,
24808.1,µm,Point,Pt Distance from Origin,17,1,Segment Branch,100000000,800000035,
24807.9,µm,Point,Pt Distance from Origin,16,1,Segment Branch,100000000,800000036,
24809.5,µm,Point,Pt Distance from Origin,15,1,Segment Branch,100000000,800000037,
24810,µm,Point,Pt Distance from Origin,14,1,Segment Branch,100000000,800000038,
24815.4,µm,Point,Pt Distance from Origin,13,1,Segment Branch,100000000,800000039,
24815.7,µm,Point,Pt Distance from Origin,12,1,Segment Branch,100000000,800000040,
24817.2,µm,Point,Pt Distance from Origin,11,1,Segment Branch,100000000,800000041,
24818.1,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000042,
24817.9,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000043,
24817.8,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000044,
24819.4,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000045,
24819.3,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000046,
24819.1,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000047,
24818.6,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000048,
24818.2,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000049,
24818.1,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000050,
24817,µm,Point,Pt Distance from Origin,2,1,Segment,100000000,800000051,
24816.8,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000052,
24804.5,µm,Point,Pt Distance from Origin,21,1,Segment Terminal,100000000,800000053,
24805.9,µm,Point,Pt Distance from Origin,20,1,Segment Terminal,100000000,800000054,
24807.3,µm,Point,Pt Distance from Origin,19,1,Segment Terminal,100000000,800000055,
24808.2,µm,Point,Pt Distance from Origin,23,1,Segment Terminal,100000000,800000057,
24807.6,µm,Point,Pt Distance from Origin,22,1,Segment Branch,100000000,800000058,
24806.9,µm,Point,Pt Distance from Origin,22,1,Segment,100000000,800000059,
24805.8,µm,Point,Pt Distance from Origin,21,1,Segment Branch,100000000,800000060,
24805.5,µm,Point,Pt Distance from Origin,20,1,Segment Branch,100000000,800000061,
24805.5,µm,Point,Pt Distance from Origin,19,1,Segment Branch,100000000,800000062,
24805.5,µm,Point,Pt Distance from Origin,18,1,Segment Branch,100000000,800000063,
24805.6,µm,Point,Pt Distance from Origin,18,1,Segment,100000000,800000064,
24805.9,µm,Point,Pt Distance from Origin,17,1,Segment Branch,100000000,800000065,
24807.4,µm,Point,Pt Distance from Origin,23,1,Segment Terminal,100000000,800000066,
24804.3,µm,Point,Pt Distance from Origin,21,1,Segment Terminal,100000000,800000067,
24804,µm,Point,Pt Distance from Origin,18,1,Segment Terminal,100000000,800000069,
24805.6,µm,Point,Pt Distance from Origin,18,1,Segment,100000000,800000070,
24804.9,µm,Point,Pt Distance from Origin,20,1,Segment Terminal,100000000,800000071,
24805.7,µm,Point,Pt Distance from Origin,22,1,Segment Terminal,100000000,800000072,
24808.1,µm,Point,Pt Distance from Origin,16,1,Segment Terminal,100000000,800000074,
24810.1,µm,Point,Pt Distance from Origin,15,1,Segment Branch,100000000,800000075,
24805.5,µm,Point,Pt Distance from Origin,19,1,Segment,100000000,800000077,
24805.1,µm,Point,Pt Distance from Origin,19,1,Segment Terminal,100000000,800000078,
24807.8,µm,Point,Pt Distance from Origin,18,1,Segment Terminal,100000000,800000080,
24810.7,µm,Point,Pt Distance from Origin,17,1,Segment Terminal,100000000,800000082,
24809.9,µm,Point,Pt Distance from Origin,16,1,Segment Branch,100000000,800000083,
24809.3,µm,Point,Pt Distance from Origin,17,1,Segment Terminal,100000000,800000084,
24808.1,µm,Point,Pt Distance from Origin,16,1,Segment Terminal,100000000,800000085,
24804.4,µm,Point,Pt Distance from Origin,15,1,Segment Terminal,100000000,800000086,
24805.1,µm,Point,Pt Distance from Origin,14,1,Segment Branch,100000000,800000087,
24807,µm,Point,Pt Distance from Origin,13,1,Segment Branch,100000000,800000088,
24807.2,µm,Point,Pt Distance from Origin,12,1,Segment Branch,100000000,800000089,
24807.5,µm,Point,Pt Distance from Origin,11,1,Segment Branch,100000000,800000090,
24807.6,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000091,
24808,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000092,
24809.2,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000093,
24810.5,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000094,
24811.3,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000095,
24811.6,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000096,
24805,µm,Point,Pt Distance from Origin,15,1,Segment Terminal,100000000,800000097,
24812.5,µm,Point,Pt Distance from Origin,13,1,Segment Terminal,100000000,800000098,
24811.6,µm,Point,Pt Distance from Origin,12,1,Segment Branch,100000000,800000099,
24810.4,µm,Point,Pt Distance from Origin,11,1,Segment Branch,100000000,800000100,
24809.3,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000101,
24809,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000102,
24809,µm,Point,Pt Distance from Origin,9,1,Segment,100000000,800000103,
24812.5,µm,Point,Pt Distance from Origin,13,1,Segment Terminal,100000000,800000104,
24809,µm,Point,Pt Distance from Origin,14,1,Spine Attachment,100000000,800000106,
24808.8,µm,Point,Pt Distance from Origin,13,1,Segment Branch,100000000,800000107,
24808.5,µm,Point,Pt Distance from Origin,12,1,Segment Branch,100000000,800000108,
24808.2,µm,Point,Pt Distance from Origin,12,1,Segment,100000000,800000109,
24807.9,µm,Point,Pt Distance from Origin,12,1,Segment,100000000,800000110,
24808.6,µm,Point,Pt Distance from Origin,14,1,Segment Terminal,100000000,800000111,
24806.2,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000112,
24811.7,µm,Point,Pt Distance from Origin,12,1,Segment Terminal,100000000,800000113,
24806.3,µm,Point,Pt Distance from Origin,14,1,Segment Terminal,100000000,800000114,
24809.2,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000115,
24811.3,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000116,
24811.2,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000117,
24811.3,µm,Point,Pt Distance from Origin,6,1,Segment,100000000,800000118,
