
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
24779.7,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000002,610000005298,
24780.5,µm,Spine,Spine Attachment Pt Distance from Origin,9,5,1,100000001,610000005316,
24773.4,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000002,610000005338,
24757.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000005365,
24808.2,µm,Spine,Spine Attachment Pt Distance from Origin,16,6,1,100000000,610000005382,
24811.3,µm,Spine,Spine Attachment Pt Distance from Origin,8,5,1,100000002,610000005386,
24795.6,µm,Spine,Spine Attachment Pt Distance from Origin,8,3,1,100000002,610000005394,
24818,µm,Spine,Spine Attachment Pt Distance from Origin,10,4,1,100000000,610000005399,
24761.6,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000002,610000005401,
24785.8,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000001,610000005409,
24769.7,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,100000002,610000005411,
24758.6,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000002,610000005420,
24810.8,µm,Spine,Spine Attachment Pt Distance from Origin,7,4,1,100000000,610000005441,
24791.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000002,610000005506,
24812,µm,Spine,Spine Attachment Pt Distance from Origin,7,5,1,100000000,610000005508,
24762.9,µm,Spine,Spine Attachment Pt Distance from Origin,2,3,1,100000003,610000005558,
24764.3,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000002,610000005573,
24776.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000002,610000005578,
24747.4,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000004,610000005641,
24747.2,µm,Spine,Spine Attachment Pt Distance from Origin,2,3,1,100000004,610000005668,
24792.7,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,100000001,610000005699,
24763.6,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000002,610000005733,
24763.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,4,1,100000003,610000005736,
24782.3,µm,Spine,Spine Attachment Pt Distance from Origin,8,5,1,100000001,610000005786,
24834.7,µm,Spine,Spine Attachment Pt Distance from Origin,8,3,1,100000000,610000005830,
24812.2,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000002,610000005842,
24747.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000005844,
24777.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000005855,
24763.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000005865,
24831.1,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000000,610000005883,
24828.8,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000000,610000005890,
24833.1,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000000,610000005904,
24788.9,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000005909,
24814.7,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000002,610000005923,
24737.7,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000005925,
24747.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000004,610000005982,
24775.9,µm,Spine,Spine Attachment Pt Distance from Origin,12,8,1,100000001,610000005990,
24786,µm,Spine,Spine Attachment Pt Distance from Origin,2,3,1,100000002,610000005997,
24746.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,,610000006260,
