
Soma Ellipsoid Axis A Z
 ==================== 
Soma Ellipsoid Axis A Z,Unit,Category,Collection,Time,FilamentID,ID,
0.964187,µm,Soma,Soma Ellipsoid Axis A,1,100000000,800000000,
0.6075,µm,Soma,Soma Ellipsoid Axis A,1,100000001,800000001,
0.468554,µm,Soma,Soma Ellipsoid Axis A,1,100000002,800000002,
0.18991,µm,Soma,Soma Ellipsoid Axis A,1,100000003,800000003,
-0.249599,µm,Soma,Soma Ellipsoid Axis A,1,100000004,800000004,
