
Segment Number of Voxel Ch=2 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
134,,Segment,2,8,Image 1,5,1,100000002,510000000017,
116,,Segment,2,7,Image 1,4,1,100000002,510000000020,
674,,Segment,2,6,Image 1,3,1,100000002,510000000079,
170,,Segment,2,5,Image 1,2,1,100000002,510000000091,
943,,Segment,2,3,Image 1,1,1,100000002,510000000186,
241,,Segment,2,2,Image 1,1,1,100000002,510000000190,
313,,Segment,2,1,Image 1,1,1,100000002,510000000196,
29,,Segment,2,0,Image 1,1,1,100000002,510000000214,
402,,Segment,2,7,Image 1,3,1,100000002,510000000231,
50,,Segment,2,8,Image 1,4,1,100000002,510000000233,
290,,Segment,2,8,Image 1,3,1,100000002,510000000249,
190,,Segment,2,7,Image 1,2,1,100000002,510000000259,
162,,Segment,2,6,Image 1,2,1,100000002,510000000263,
356,,Segment,2,8,Image 1,2,1,100000002,510000000270,
82,,Segment,2,7,Image 1,3,1,100000002,510000000273,
153,,Segment,2,11,Image 1,6,1,100000000,510000000292,
99,,Segment,2,10,Image 1,5,1,100000000,510000000295,
79,,Segment,2,9,Image 1,5,1,100000000,510000000297,
111,,Segment,2,8,Image 1,5,1,100000000,510000000302,
65,,Segment,2,7,Image 1,5,1,100000000,510000000305,
258,,Segment,2,5,Image 1,4,1,100000000,510000000346,
60,,Segment,2,4,Image 1,3,1,100000000,510000000348,
145,,Segment,2,3,Image 1,3,1,100000000,510000000355,
427,,Segment,2,2,Image 1,2,1,100000000,510000000373,
33,,Segment,2,1,Image 1,2,1,100000000,510000000375,
25,,Segment,2,0,Image 1,1,1,100000000,510000000392,
425,,Segment,2,11,Image 1,6,1,100000000,510000000413,
232,,Segment,2,10,Image 1,6,1,100000000,510000000421,
109,,Segment,2,9,Image 1,7,1,100000000,510000000428,
45,,Segment,2,8,Image 1,6,1,100000000,510000000430,
56,,Segment,2,11,Image 1,7,1,100000000,510000000433,
64,,Segment,2,11,Image 1,6,1,100000000,510000000435,
104,,Segment,2,9,Image 1,6,1,100000000,510000000439,
80,,Segment,2,10,Image 1,6,1,100000000,510000000444,
66,,Segment,2,9,Image 1,6,1,100000000,510000000446,
77,,Segment,2,11,Image 1,5,1,100000000,510000000448,
61,,Segment,2,10,Image 1,7,1,100000000,510000000452,
61,,Segment,2,6,Image 1,4,1,100000000,510000000459,
102,,Segment,2,8,Image 1,3,1,100000002,510000000465,
176,,Segment,2,7,Image 1,2,1,100000002,510000000468,
180,,Segment,2,6,Image 1,2,1,100000002,510000000474,
146,,Segment,2,5,Image 1,2,1,100000002,510000000480,
140,,Segment,2,4,Image 1,2,1,100000002,510000000482,
489,,Segment,2,3,Image 1,2,1,100000002,510000000542,
213,,Segment,2,2,Image 1,1,1,100000002,510000000554,
208,,Segment,2,1,Image 1,1,1,100000002,510000000565,
467,,Segment,2,0,Image 1,1,1,100000002,510000000592,
193,,Segment,2,8,Image 1,4,1,100000002,510000000611,
249,,Segment,2,7,Image 1,3,1,100000002,510000000618,
59,,Segment,2,6,Image 1,3,1,100000002,510000000620,
73,,Segment,2,5,Image 1,3,1,100000002,510000000622,
140,,Segment,2,8,Image 1,2,1,100000002,510000000625,
140,,Segment,2,7,Image 1,3,1,100000002,510000000627,
170,,Segment,2,8,Image 1,3,1,100000002,510000000632,
52,,Segment,2,6,Image 1,3,1,100000002,510000000635,
76,,Segment,2,7,Image 1,4,1,100000002,510000000637,
128,,Segment,2,5,Image 1,3,1,100000002,510000000643,
134,,Segment,2,6,Image 1,4,1,100000002,510000000647,
145,,Segment,2,4,Image 1,3,1,100000002,510000000653,
145,,Segment,2,7,Image 1,3,1,100000002,510000000661,
703,,Segment,2,6,Image 1,2,1,100000002,510000000747,
306,,Segment,2,5,Image 1,1,1,100000002,510000000766,
210,,Segment,2,4,Image 1,1,1,100000002,510000000774,
94,,Segment,2,3,Image 1,1,1,100000002,510000000776,
212,,Segment,2,2,Image 1,1,1,100000002,510000000785,
261,,Segment,2,0,Image 1,1,1,100000002,510000000803,
74,,Segment,2,8,Image 1,3,1,100000002,510000000806,
170,,Segment,2,7,Image 1,2,1,100000002,510000000809,
114,,Segment,2,8,Image 1,2,1,100000002,510000000814,
98,,Segment,2,16,Image 1,10,1,100000002,510000000825,
116,,Segment,2,14,Image 1,8,1,100000002,510000000830,
735,,Segment,2,12,Image 1,7,1,100000002,510000000841,
157,,Segment,2,11,Image 1,7,1,100000002,510000000844,
102,,Segment,2,10,Image 1,7,1,100000002,510000000851,
13,,Segment,2,8,Image 1,6,1,100000002,510000000854,
61,,Segment,2,7,Image 1,5,1,100000002,510000000859,
84,,Segment,2,6,Image 1,4,1,100000002,510000000864,
57,,Segment,2,5,Image 1,3,1,100000002,510000000866,
132,,Segment,2,4,Image 1,3,1,100000002,510000000899,
119,,Segment,2,3,Image 1,2,1,100000002,510000000906,
109,,Segment,2,2,Image 1,2,1,100000002,510000000911,
206,,Segment,2,1,Image 1,2,1,100000002,510000000920,
271,,Segment,2,12,Image 1,9,1,100000002,510000000937,
158,,Segment,2,16,Image 1,9,1,100000002,510000000947,
53,,Segment,2,14,Image 1,9,1,100000002,510000000957,
258,,Segment,2,13,Image 1,7,1,100000002,510000000961,
66,,Segment,2,14,Image 1,10,1,100000002,510000000964,
175,,Segment,2,13,Image 1,9,1,100000002,510000000968,
242,,Segment,2,12,Image 1,9,1,100000002,510000000970,
202,,Segment,2,11,Image 1,9,1,100000002,510000000975,
243,,Segment,2,12,Image 1,8,1,100000002,510000000982,
173,,Segment,2,14,Image 1,9,1,100000002,510000000985,
161,,Segment,2,13,Image 1,10,1,100000002,510000000989,
288,,Segment,2,12,Image 1,10,1,100000002,510000000993,
364,,Segment,2,12,Image 1,8,1,100000002,510000001002,
155,,Segment,2,9,Image 1,6,1,100000002,510000001008,
103,,Segment,2,8,Image 1,5,1,100000002,510000001012,
61,,Segment,2,11,Image 1,8,1,100000002,510000001016,
248,,Segment,2,9,Image 1,5,1,100000002,510000001022,
72,,Segment,2,9,Image 1,6,1,100000002,510000001025,
71,,Segment,2,7,Image 1,4,1,100000002,510000001027,
66,,Segment,2,5,Image 1,4,1,100000002,510000001030,
81,,Segment,2,2,Image 1,3,1,100000003,510000001036,
186,,Segment,2,1,Image 1,2,1,100000003,510000001049,
662,,Segment,2,0,Image 1,1,1,100000003,510000001116,
244,,Segment,2,2,Image 1,2,1,100000003,510000001132,
234,,Segment,2,1,Image 1,1,1,100000003,510000001136,
72,,Segment,2,21,Image 1,11,1,100000000,510000001141,
98,,Segment,2,20,Image 1,10,1,100000000,510000001150,
40,,Segment,2,19,Image 1,10,1,100000000,510000001153,
73,,Segment,2,18,Image 1,9,1,100000000,510000001159,
36,,Segment,2,17,Image 1,8,1,100000000,510000001161,
64,,Segment,2,16,Image 1,7,1,100000000,510000001167,
124,,Segment,2,14,Image 1,5,1,100000000,510000001199,
161,,Segment,2,12,Image 1,5,1,100000000,510000001205,
316,,Segment,2,11,Image 1,4,1,100000000,510000001216,
370,,Segment,2,10,Image 1,3,1,100000000,510000001222,
151,,Segment,2,9,Image 1,3,1,100000000,510000001225,
158,,Segment,2,8,Image 1,3,1,100000000,510000001239,
137,,Segment,2,5,Image 1,2,1,100000000,510000001243,
152,,Segment,2,4,Image 1,2,1,100000000,510000001247,
62,,Segment,2,3,Image 1,2,1,100000000,510000001249,
246,,Segment,2,2,Image 1,2,1,100000000,510000001262,
498,,Segment,2,1,Image 1,1,1,100000000,510000001303,
91,,Segment,2,21,Image 1,10,1,100000000,510000001305,
125,,Segment,2,20,Image 1,11,1,100000000,510000001311,
55,,Segment,2,19,Image 1,9,1,100000000,510000001313,
44,,Segment,2,23,Image 1,9,1,100000000,510000001320,
70,,Segment,2,22,Image 1,9,1,100000000,510000001325,
45,,Segment,2,21,Image 1,8,1,100000000,510000001327,
62,,Segment,2,19,Image 1,7,1,100000000,510000001331,
305,,Segment,2,18,Image 1,7,1,100000000,510000001337,
229,,Segment,2,17,Image 1,7,1,100000000,510000001342,
33,,Segment,2,23,Image 1,10,1,100000000,510000001344,
101,,Segment,2,21,Image 1,9,1,100000000,510000001350,
643,,Segment,2,18,Image 1,8,1,100000000,510000001366,
124,,Segment,2,20,Image 1,7,1,100000000,510000001368,
176,,Segment,2,16,Image 1,6,1,100000000,510000001391,
53,,Segment,2,19,Image 1,8,1,100000000,510000001395,
323,,Segment,2,18,Image 1,8,1,100000000,510000001407,
38,,Segment,2,17,Image 1,6,1,100000000,510000001413,
121,,Segment,2,16,Image 1,5,1,100000000,510000001416,
104,,Segment,2,16,Image 1,6,1,100000000,510000001422,
133,,Segment,2,15,Image 1,7,1,100000000,510000001428,
213,,Segment,2,14,Image 1,6,1,100000000,510000001442,
81,,Segment,2,12,Image 1,6,1,100000000,510000001447,
38,,Segment,2,10,Image 1,6,1,100000000,510000001451,
30,,Segment,2,9,Image 1,5,1,100000000,510000001455,
60,,Segment,2,8,Image 1,4,1,100000000,510000001459,
101,,Segment,2,7,Image 1,4,1,100000000,510000001464,
21,,Segment,2,6,Image 1,4,1,100000000,510000001468,
160,,Segment,2,5,Image 1,3,1,100000000,510000001501,
263,,Segment,2,15,Image 1,6,1,100000000,510000001504,
76,,Segment,2,13,Image 1,4,1,100000000,510000001512,
172,,Segment,2,12,Image 1,4,1,100000000,510000001517,
