
Segment Center Intensity Min Ch=5 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,5,7,Image 1,3,1,100000002,510000003219,
0,,Segment,5,6,Image 1,3,1,100000002,510000003245,
34,,Segment,5,5,Image 1,3,1,100000002,510000003252,
5,,Segment,5,8,Image 1,5,1,100000002,510000003272,
0,,Segment,5,7,Image 1,4,1,100000002,510000003299,
12,,Segment,5,8,Image 1,4,1,100000002,510000003303,
0,,Segment,5,1,Image 1,2,1,100000001,510000003374,
31,,Segment,5,0,Image 1,1,1,100000001,510000003425,
0,,Segment,5,6,Image 1,4,1,100000003,510000003436,
16,,Segment,5,5,Image 1,3,1,100000003,510000003449,
27,,Segment,5,4,Image 1,3,1,100000003,510000003455,
0,,Segment,5,3,Image 1,3,1,100000003,510000003472,
0,,Segment,5,6,Image 1,4,1,100000003,510000003492,
23,,Segment,5,5,Image 1,4,1,100000003,510000003515,
0,,Segment,5,3,Image 1,3,1,100000000,510000003585,
61,,Segment,5,2,Image 1,2,1,100000000,510000003596,
66,,Segment,5,1,Image 1,1,1,100000000,510000003607,
0,,Segment,5,3,Image 1,3,1,100000002,510000003650,
17,,Segment,5,8,Image 1,3,1,100000000,510000003666,
22,,Segment,5,7,Image 1,3,1,100000000,510000003672,
4,,Segment,5,6,Image 1,2,1,100000000,510000003674,
0,,Segment,5,5,Image 1,2,1,100000000,510000003755,
31,,Segment,5,4,Image 1,2,1,100000000,510000003763,
48,,Segment,5,3,Image 1,1,1,100000000,510000003765,
0,,Segment,5,8,Image 1,4,1,100000000,510000003771,
4,,Segment,5,6,Image 1,3,1,100000000,510000003773,
32,,Segment,5,7,Image 1,2,1,100000000,510000003777,
0,,Segment,5,3,Image 1,3,1,100000003,510000003815,
42,,Segment,5,2,Image 1,2,1,100000003,510000003857,
60,,Segment,5,1,Image 1,1,1,100000003,510000003861,
0,,Segment,5,6,Image 1,3,1,100000003,510000003871,
0,,Segment,5,6,Image 1,5,1,100000003,510000003880,
27,,Segment,5,5,Image 1,4,1,100000003,510000003887,
36,,Segment,5,4,Image 1,4,1,100000003,510000003891,
0,,Segment,5,7,Image 1,2,1,100000000,510000003921,
0,,Segment,5,6,Image 1,2,1,100000000,510000003951,
24,,Segment,5,6,Image 1,4,1,100000002,510000003959,
16,,Segment,5,3,Image 1,3,1,100000002,510000003962,
0,,Segment,5,2,Image 1,3,1,100000002,510000003999,
16,,Segment,5,3,Image 1,4,1,100000002,510000004002,
0,,Segment,5,3,Image 1,1,1,100000002,510000004073,
35,,Segment,5,2,Image 1,1,1,100000002,510000004079,
26,,Segment,5,1,Image 1,1,1,100000002,510000004116,
0,,Segment,5,0,Image 1,1,1,100000002,510000004132,
0,,Segment,5,3,Image 1,2,1,100000001,510000004150,
0,,Segment,5,2,Image 1,2,1,100000001,510000004194,
0,,Segment,5,6,Image 1,2,1,100000002,510000004222,
81,,Segment,5,5,Image 1,2,1,100000002,510000004224,
0,,Segment,5,4,Image 1,2,1,100000002,510000004318,
17,,Segment,5,3,Image 1,1,1,100000002,510000004363,
27,,Segment,5,2,Image 1,1,1,100000002,510000004374,
16,,Segment,5,6,Image 1,3,1,100000002,510000004392,
7,,Segment,5,5,Image 1,3,1,100000002,510000004413,
0,,Segment,5,7,Image 1,3,1,100000001,510000004457,
50,,Segment,5,6,Image 1,2,1,100000001,510000004474,
0,,Segment,5,5,Image 1,2,1,100000001,510000004503,
8,,Segment,5,7,Image 1,2,1,100000001,510000004555,
2,,Segment,5,6,Image 1,3,1,100000001,510000004568,
0,,Segment,5,2,Image 1,3,1,100000003,510000004585,
0,,Segment,5,1,Image 1,2,1,100000003,510000004592,
31,,Segment,5,0,Image 1,1,1,100000003,510000004599,
0,,Segment,5,2,Image 1,2,1,100000003,510000004620,
0,,Segment,5,1,Image 1,2,1,100000001,510000004631,
22,,Segment,5,0,Image 1,1,1,100000001,510000004646,
12,,Segment,5,3,Image 1,3,1,100000001,510000004656,
8,,Segment,5,5,Image 1,3,1,100000001,510000004669,
0,,Segment,5,4,Image 1,2,1,100000001,510000004702,
50,,Segment,5,5,Image 1,2,1,100000001,510000004704,
0,,Segment,5,4,Image 1,4,1,100000001,510000004710,
6,,Segment,5,4,Image 1,3,1,100000000,510000004721,
27,,Segment,5,6,Image 1,3,1,100000001,510000004724,
0,,Segment,5,3,Image 1,2,1,100000003,510000004727,
