
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,2,3,Image 1,3,1,100000002,610000007491,
0,,Spine,2,1,Image 1,2,1,100000000,610000007497,
0,,Spine,2,1,Image 1,1,1,100000000,610000007498,
0,,Spine,2,1,Image 1,1,1,100000000,610000007499,
0,,Spine,2,2,Image 1,3,1,100000000,610000007500,
0,,Spine,2,2,Image 1,3,1,100000000,610000007501,
0,,Spine,2,2,Image 1,3,1,100000000,610000007502,
0,,Spine,2,2,Image 1,3,1,100000000,610000007503,
1,,Spine,2,5,Image 1,2,1,100000000,610000007504,
0,,Spine,2,5,Image 1,3,1,100000000,610000007505,
1,,Spine,2,4,Image 1,2,1,100000000,610000007506,
0,,Spine,2,3,Image 1,2,1,100000000,610000007507,
0,,Spine,2,7,Image 1,2,1,100000000,610000007508,
0,,Spine,2,9,Image 1,6,1,100000000,610000007509,
0,,Spine,2,9,Image 1,5,1,100000000,610000007510,
1,,Spine,2,8,Image 1,5,1,100000000,610000007511,
0,,Spine,2,5,Image 1,2,1,100000000,610000007512,
3,,Spine,2,4,Image 1,2,1,100000000,610000007513,
0,,Spine,2,4,Image 1,2,1,100000000,610000007514,
0,,Spine,2,1,Image 1,1,1,100000000,610000007515,
0,,Spine,2,0,Image 1,1,1,100000000,610000007516,
0,,Spine,2,0,Image 1,1,1,100000000,610000007517,
0,,Spine,2,0,Image 1,1,1,100000000,610000007518,
1,,Spine,2,1,Image 1,1,1,100000000,610000007519,
0,,Spine,2,1,Image 1,1,1,100000000,610000007520,
0,,Spine,2,1,Image 1,2,1,100000000,610000007521,
0,,Spine,2,1,Image 1,1,1,100000000,610000007522,
0,,Spine,2,7,Image 1,2,1,100000000,610000007523,
0,,Spine,2,7,Image 1,2,1,100000000,610000007524,
0,,Spine,2,5,Image 1,2,1,100000000,610000007525,
0,,Spine,2,7,Image 1,2,1,100000000,610000007526,
0,,Spine,2,7,Image 1,1,1,100000000,610000007527,
0,,Spine,2,6,Image 1,1,1,100000000,610000007528,
1,,Spine,2,1,Image 1,2,1,100000000,610000007529,
0,,Spine,2,1,Image 1,2,1,100000000,610000007530,
1,,Spine,2,1,Image 1,2,1,100000000,610000007531,
2,,Spine,2,1,Image 1,2,1,100000000,610000007532,
0,,Spine,2,1,Image 1,2,1,100000000,610000007533,
0,,Spine,2,0,Image 1,1,1,100000000,610000007537,
0,,Spine,2,0,Image 1,1,1,100000000,610000007538,
0,,Spine,2,0,Image 1,1,1,100000000,610000007539,
1,,Spine,2,5,Image 1,2,1,100000001,610000007544,
0,,Spine,2,5,Image 1,3,1,100000001,610000007545,
0,,Spine,2,5,Image 1,3,1,100000001,610000007546,
0,,Spine,2,4,Image 1,2,1,100000001,610000007547,
0,,Spine,2,4,Image 1,2,1,100000001,610000007548,
20,,Spine,2,3,Image 1,2,1,100000001,610000007549,
1,,Spine,2,6,Image 1,5,1,100000001,610000007550,
1,,Spine,2,5,Image 1,1,1,100000001,610000007551,
0,,Spine,2,7,Image 1,3,1,100000001,610000007552,
0,,Spine,2,4,Image 1,1,1,100000001,610000007553,
0,,Spine,2,3,Image 1,1,1,100000001,610000007554,
0,,Spine,2,0,Image 1,1,1,100000001,610000007555,
0,,Spine,2,0,Image 1,1,1,100000001,610000007556,
0,,Spine,2,0,Image 1,1,1,100000001,610000007557,
0,,Spine,2,0,Image 1,1,1,100000001,610000007558,
0,,Spine,2,0,Image 1,1,1,100000001,610000007559,
0,,Spine,2,4,Image 1,2,1,100000001,610000007560,
0,,Spine,2,4,Image 1,2,1,100000001,610000007561,
0,,Spine,2,4,Image 1,2,1,100000001,610000007562,
0,,Spine,2,1,Image 1,1,1,100000001,610000007563,
1,,Spine,2,1,Image 1,2,1,100000001,610000007567,
0,,Spine,2,4,Image 1,2,1,100000001,610000007568,
0,,Spine,2,4,Image 1,1,1,100000001,610000007569,
0,,Spine,2,3,Image 1,1,1,100000001,610000007570,
0,,Spine,2,2,Image 1,1,1,100000001,610000007571,
0,,Spine,2,2,Image 1,1,1,100000001,610000007572,
0,,Spine,2,0,Image 1,1,1,100000001,610000007573,
1,,Spine,2,2,Image 1,2,1,100000001,610000007575,
0,,Spine,2,7,Image 1,3,1,100000002,610000007576,
0,,Spine,2,6,Image 1,2,1,100000002,610000007577,
0,,Spine,2,5,Image 1,2,1,100000002,610000007578,
0,,Spine,2,7,Image 1,3,1,100000002,610000007579,
0,,Spine,2,4,Image 1,3,1,100000002,610000007580,
