
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1430.97,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000007011,
1438.38,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000007053,
1437.37,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000007067,
1448.3,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000007084,
1430.34,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000007088,
1432.89,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000007094,
1431.39,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000007100,
1444.43,µm,Spine,Spine Attachment Pt Position,7,3,1,100000002,610000007118,
1431.12,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000007122,
1431.39,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000007126,
1447.68,µm,Spine,Spine Attachment Pt Position,2,3,1,100000003,610000007130,
1431.07,µm,Spine,Spine Attachment Pt Position,3,1,1,100000003,610000007166,
1427.91,µm,Spine,Spine Attachment Pt Position,6,4,1,100000001,610000007178,
1444.12,µm,Spine,Spine Attachment Pt Position,3,1,1,100000002,610000007180,
1440.38,µm,Spine,Spine Attachment Pt Position,6,4,1,100000003,610000007184,
1449.65,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007186,
1430.95,µm,Spine,Spine Attachment Pt Position,7,1,1,100000001,610000007193,
1449.71,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000007198,
1450.02,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000007209,
1444.76,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000007227,
1440.6,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000007232,
1429.71,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000007234,
1435.65,µm,Spine,Spine Attachment Pt Position,5,2,1,100000002,610000007239,
1428.13,µm,Spine,Spine Attachment Pt Position,4,2,1,100000002,610000007242,
1430.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000007245,
1446.12,µm,Spine,Spine Attachment Pt Position,2,3,1,100000000,610000007247,
1447.01,µm,Spine,Spine Attachment Pt Position,3,1,1,100000002,610000007270,
1428.79,µm,Spine,Spine Attachment Pt Position,7,2,1,100000000,610000007272,
1444.68,µm,Spine,Spine Attachment Pt Position,2,3,1,100000000,610000007303,
1432.22,µm,Spine,Spine Attachment Pt Position,2,1,1,100000003,610000007305,
1439,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000007312,
1438.09,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000007317,
1445.43,µm,Spine,Spine Attachment Pt Position,4,3,1,100000003,610000007333,
1434.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000007335,
1438.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000007340,
1431.82,µm,Spine,Spine Attachment Pt Position,6,3,1,100000002,610000007353,
1448.54,µm,Spine,Spine Attachment Pt Position,5,4,1,100000003,610000007358,
1430.41,µm,Spine,Spine Attachment Pt Position,6,2,1,100000002,610000007369,
1431.88,µm,Spine,Spine Attachment Pt Position,3,1,1,100000001,610000007376,
1446.29,µm,Spine,Spine Attachment Pt Position,3,3,1,100000000,610000007398,
1439.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000007400,
1431.77,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000007404,
1449.42,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000007426,
1427.91,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000007438,
1447.45,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000007447,
1429.83,µm,Spine,Spine Attachment Pt Position,3,3,1,100000002,610000007491,
1434.56,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007629,
1436.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007629,
1446.34,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000007630,
1430.77,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000007630,
1434.63,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007630,
1430.88,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000007630,
1434.31,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000007631,
1427.91,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007631,
1436.82,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000007631,
1430.2,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007631,
1431.96,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000007632,
1440.18,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007632,
1437.91,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007632,
1440.85,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007633,
1449.7,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000007633,
1431.85,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000007633,
1439.66,µm,Spine,Spine Attachment Pt Position,6,5,1,,610000007634,
1441.23,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007634,
1450.15,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000007634,
1445.14,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007634,
1437.56,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000007635,
1430.97,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000007635,
1447.09,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007635,
1439.5,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007636,
1427.91,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007636,
1441.25,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000007636,
1442.54,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000007637,
1436,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007637,
1443.32,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000007637,
1440.37,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000007638,
1438.42,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000007638,
1438.99,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000007638,
1427.89,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000007638,
1446.94,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000007639,
1440.28,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000007639,
1437.74,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000007639,
1427.9,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000007639,
1431.92,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000007640,
1433.16,µm,Spine,Spine Attachment Pt Position,9,6,1,,610000007640,
1443.14,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000007640,
1429.22,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007641,
1433.84,µm,Spine,Spine Attachment Pt Position,9,5,1,,610000007641,
1441.94,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000007641,
1434.37,µm,Spine,Spine Attachment Pt Position,8,5,1,,610000007642,
1432.32,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007642,
1432.51,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000007642,
1440.13,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000007642,
1446.63,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000007643,
1435.21,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000007643,
1446.42,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007643,
1432.35,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007643,
1445.57,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000007644,
1448.33,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007644,
1441.8,µm,Spine,Spine Attachment Pt Position,5,5,1,,610000007644,
1442.1,µm,Spine,Spine Attachment Pt Position,6,5,1,,610000007645,
1439.15,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007645,
1448.97,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007645,
1440.25,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007646,
1439.45,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007646,
1444.11,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007646,
1444.79,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007646,
1441.7,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000007647,
1443.38,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007647,
1440.62,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000007647,
1440.8,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000007648,
1439.76,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007648,
1440.53,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000007648,
1444.99,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007648,
1439.48,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007649,
1443.74,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007649,
1444.28,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000007649,
1440.87,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000007650,
1445.95,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000007650,
1444.44,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000007650,
1440.78,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000007651,
1446.48,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000007651,
1447.72,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007652,
1442.42,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000007652,
1431.71,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007652,
1432.74,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007653,
1432.22,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007653,
1432.36,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007654,
1433.12,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007654,
1431.99,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007655,
1434.08,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007655,
1429.17,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000007656,
1430.83,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007656,
1429.68,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000007657,
1433.51,µm,Spine,Spine Attachment Pt Position,6,1,1,,610000007659,
1437.02,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000007660,
1438.93,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000007661,
1437.64,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000007662,
1438.44,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007664,
1438.47,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000007665,
1428.24,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000007668,
