
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1428.62,µm,Segment,Segment Position,1,2,1,100000000,510000000132,
1432.67,µm,Segment,Segment Position,0,1,1,100000000,510000000157,
1441.55,µm,Segment,Segment Position,7,7,1,100000003,510000000178,
1440.24,µm,Segment,Segment Position,6,6,1,100000003,510000000227,
1442.49,µm,Segment,Segment Position,5,5,1,100000003,510000000236,
1442.98,µm,Segment,Segment Position,4,5,1,100000003,510000000333,
1439.46,µm,Segment,Segment Position,3,4,1,100000003,510000000395,
1446.48,µm,Segment,Segment Position,2,3,1,100000003,510000000428,
1442.52,µm,Segment,Segment Position,1,2,1,100000003,510000000437,
1442.82,µm,Segment,Segment Position,0,1,1,100000003,510000000440,
1429.89,µm,Segment,Segment Position,5,2,1,100000001,510000000558,
1429.07,µm,Segment,Segment Position,4,2,1,100000001,510000000625,
1430.82,µm,Segment,Segment Position,3,2,1,100000001,510000000645,
1432.51,µm,Segment,Segment Position,2,2,1,100000001,510000000654,
1433.17,µm,Segment,Segment Position,1,2,1,100000001,510000000673,
1434.13,µm,Segment,Segment Position,0,1,1,100000001,510000000682,
1430.07,µm,Segment,Segment Position,7,4,1,100000001,510000000707,
1427.86,µm,Segment,Segment Position,6,4,1,100000001,510000000733,
1427.8,µm,Segment,Segment Position,5,3,1,100000001,510000000758,
1427.99,µm,Segment,Segment Position,7,5,1,100000001,510000000767,
1428.15,µm,Segment,Segment Position,6,3,1,100000001,510000000772,
1432.75,µm,Segment,Segment Position,2,2,1,100000003,510000000963,
1438.9,µm,Segment,Segment Position,1,1,1,100000003,510000000977,
1440.84,µm,Segment,Segment Position,7,6,1,100000003,510000000991,
1448.57,µm,Segment,Segment Position,3,3,1,100000000,510000001000,
1445.47,µm,Segment,Segment Position,2,3,1,100000000,510000001198,
1442.21,µm,Segment,Segment Position,1,2,1,100000000,510000001202,
1440.07,µm,Segment,Segment Position,0,1,1,100000000,510000001215,
1448.55,µm,Segment,Segment Position,3,4,1,100000000,510000001218,
1442.59,µm,Segment,Segment Position,4,3,1,100000000,510000001232,
1439.48,µm,Segment,Segment Position,3,2,1,100000000,510000001271,
1436.1,µm,Segment,Segment Position,2,1,1,100000000,510000001277,
1436.18,µm,Segment,Segment Position,1,1,1,100000000,510000001283,
1436.38,µm,Segment,Segment Position,0,1,1,100000000,510000001302,
1441.18,µm,Segment,Segment Position,6,5,1,100000003,510000001316,
1447.47,µm,Segment,Segment Position,5,6,1,100000003,510000001336,
1433.07,µm,Segment,Segment Position,7,3,1,100000002,510000001378,
1433.91,µm,Segment,Segment Position,6,2,1,100000002,510000001392,
1435.71,µm,Segment,Segment Position,5,2,1,100000002,510000001408,
1437.19,µm,Segment,Segment Position,3,2,1,100000002,510000001411,
1441.21,µm,Segment,Segment Position,2,2,1,100000002,510000001432,
1446.78,µm,Segment,Segment Position,1,1,1,100000002,510000001441,
1449.45,µm,Segment,Segment Position,0,1,1,100000002,510000001466,
1441.18,µm,Segment,Segment Position,3,4,1,100000001,510000001501,
1447.58,µm,Segment,Segment Position,5,3,1,100000000,510000001529,
1443.8,µm,Segment,Segment Position,4,2,1,100000000,510000001536,
1430.18,µm,Segment,Segment Position,4,3,1,100000002,510000001562,
1435.83,µm,Segment,Segment Position,3,2,1,100000002,510000001607,
1437.09,µm,Segment,Segment Position,2,2,1,100000002,510000001611,
1442.04,µm,Segment,Segment Position,1,2,1,100000002,510000001629,
1446.66,µm,Segment,Segment Position,0,1,1,100000002,510000001644,
1444.29,µm,Segment,Segment Position,4,3,1,100000003,510000001688,
1434.93,µm,Segment,Segment Position,3,2,1,100000003,510000001741,
1432.82,µm,Segment,Segment Position,2,1,1,100000003,510000001760,
1436.65,µm,Segment,Segment Position,7,2,1,100000001,510000001794,
1429.74,µm,Segment,Segment Position,6,1,1,100000001,510000001829,
1431.8,µm,Segment,Segment Position,5,1,1,100000001,510000001868,
1431.83,µm,Segment,Segment Position,4,1,1,100000001,510000001875,
1431.88,µm,Segment,Segment Position,3,1,1,100000001,510000001898,
1432.1,µm,Segment,Segment Position,2,1,1,100000001,510000001906,
1432.65,µm,Segment,Segment Position,1,1,1,100000001,510000001912,
1434.27,µm,Segment,Segment Position,4,4,1,100000003,510000001936,
1434.46,µm,Segment,Segment Position,3,3,1,100000003,510000001961,
1441.37,µm,Segment,Segment Position,2,2,1,100000003,510000001970,
1442.93,µm,Segment,Segment Position,2,2,1,100000001,510000002018,
1439.6,µm,Segment,Segment Position,1,1,1,100000001,510000002025,
1438.75,µm,Segment,Segment Position,0,1,1,100000001,510000002058,
1437.99,µm,Segment,Segment Position,4,2,1,100000003,510000002147,
1428.94,µm,Segment,Segment Position,4,3,1,100000001,510000002187,
1430.36,µm,Segment,Segment Position,3,2,1,100000001,510000002194,
1431.04,µm,Segment,Segment Position,2,1,1,100000001,510000002245,
1432.96,µm,Segment,Segment Position,1,1,1,100000001,510000002265,
1435.24,µm,Segment,Segment Position,0,1,1,100000001,510000002289,
1445.64,µm,Segment,Segment Position,1,2,1,100000003,510000002363,
1445.1,µm,Segment,Segment Position,0,1,1,100000003,510000002367,
1449.18,µm,Segment,Segment Position,6,4,1,100000001,510000002411,
