
Filament Segment Volume (sum)
 ==================== 
Filament Segment Volume (sum),Unit,Category,Time,ID,
365.739,µm^3,Filament,1,100000000,
338.027,µm^3,Filament,1,100000001,
283.46,µm^3,Filament,1,100000002,
238.068,µm^3,Filament,1,100000003,
