
Segment Intensity Mean Ch=5 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
36.4857,,Segment,5,7,Image 1,1,1,100000001,510000003009,
30.6069,,Segment,5,6,Image 1,2,1,100000001,510000003015,
30.2396,,Segment,5,5,Image 1,4,1,100000002,510000003043,
32.9277,,Segment,5,4,Image 1,3,1,100000002,510000003054,
32.4561,,Segment,5,2,Image 1,1,1,100000003,510000003079,
55.1615,,Segment,5,1,Image 1,1,1,100000003,510000003084,
29.0346,,Segment,5,0,Image 1,1,1,100000003,510000003138,
33.296,,Segment,5,1,Image 1,2,1,100000003,510000003176,
38.5588,,Segment,5,2,Image 1,2,1,100000003,510000003193,
23.4819,,Segment,5,7,Image 1,3,1,100000002,510000003219,
27.8622,,Segment,5,6,Image 1,3,1,100000002,510000003245,
31.6871,,Segment,5,5,Image 1,3,1,100000002,510000003252,
35.3184,,Segment,5,8,Image 1,5,1,100000002,510000003272,
29.6911,,Segment,5,7,Image 1,4,1,100000002,510000003299,
42.9241,,Segment,5,8,Image 1,4,1,100000002,510000003303,
44.0644,,Segment,5,1,Image 1,2,1,100000001,510000003374,
47.5477,,Segment,5,0,Image 1,1,1,100000001,510000003425,
31.7545,,Segment,5,6,Image 1,4,1,100000003,510000003436,
25.5819,,Segment,5,5,Image 1,3,1,100000003,510000003449,
32.2645,,Segment,5,4,Image 1,3,1,100000003,510000003455,
22.8935,,Segment,5,3,Image 1,3,1,100000003,510000003472,
32.2632,,Segment,5,6,Image 1,4,1,100000003,510000003492,
33.2927,,Segment,5,5,Image 1,4,1,100000003,510000003515,
27.0344,,Segment,5,3,Image 1,3,1,100000000,510000003585,
51.4697,,Segment,5,2,Image 1,2,1,100000000,510000003596,
76.8367,,Segment,5,1,Image 1,1,1,100000000,510000003607,
41.8807,,Segment,5,3,Image 1,3,1,100000002,510000003650,
33.7542,,Segment,5,8,Image 1,3,1,100000000,510000003666,
39.8981,,Segment,5,7,Image 1,3,1,100000000,510000003672,
21.1667,,Segment,5,6,Image 1,2,1,100000000,510000003674,
43.3619,,Segment,5,5,Image 1,2,1,100000000,510000003755,
50.2118,,Segment,5,4,Image 1,2,1,100000000,510000003763,
