
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
4.24671,µm,Soma,1,100000000,800000000,
4.13085,µm,Soma,1,100000001,800000001,
3.48392,µm,Soma,1,100000002,800000002,
4.40244,µm,Soma,1,100000003,800000003,
