
Soma Intensity Sum Ch=5 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.39745e+06,,Soma,5,Image 1,1,100000000,800000000,
801924,,Soma,5,Image 1,1,100000001,800000001,
304603,,Soma,5,Image 1,1,100000002,800000002,
557828,,Soma,5,Image 1,1,100000003,800000003,
