
Spine Terminal Pt Diameter
 ==================== 
Spine Terminal Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.186428,µm,Spine,10,4,1,100000000,610000002522,
0.191031,µm,Spine,2,2,1,100000001,610000002525,
0.24375,µm,Spine,1,1,1,100000001,610000002530,
0.1625,µm,Spine,4,2,1,100000001,610000002532,
0.333807,µm,Spine,1,1,1,100000001,610000002539,
0.1625,µm,Spine,2,1,1,100000001,610000002545,
0.22565,µm,Spine,1,1,1,100000001,610000002553,
0.1625,µm,Spine,2,2,1,100000001,610000002558,
0.190999,µm,Spine,0,1,1,100000001,610000002564,
0.175141,µm,Spine,2,2,1,100000001,610000002567,
0.227434,µm,Spine,6,3,1,100000000,610000002572,
0.170312,µm,Spine,2,2,1,100000001,610000002575,
0.199235,µm,Spine,1,1,1,100000001,610000002582,
0.189373,µm,Spine,14,7,1,100000000,610000002586,
0.246947,µm,Spine,6,3,1,100000000,610000002592,
0.249925,µm,Spine,2,2,1,100000000,610000002598,
0.825911,µm,Spine,2,2,1,100000002,610000002603,
0.235371,µm,Spine,1,1,1,100000001,610000002609,
0.490366,µm,Spine,1,1,1,100000001,610000002614,
0.204862,µm,Spine,1,2,1,100000000,610000002624,
0.173471,µm,Spine,3,2,1,100000002,610000002628,
0.230232,µm,Spine,9,4,1,100000000,610000002630,
0.690625,µm,Spine,2,2,1,100000002,610000002634,
0.225977,µm,Spine,4,2,1,100000001,610000002636,
0.1625,µm,Spine,10,4,1,100000000,610000002638,
0.279058,µm,Spine,0,1,1,100000000,610000002645,
0.311318,µm,Spine,1,2,1,100000000,610000002654,
0.172991,µm,Spine,2,2,1,100000000,610000002657,
0.291992,µm,Spine,4,2,1,100000001,610000002659,
0.437058,µm,Spine,1,2,1,100000000,610000002668,
0.368052,µm,Spine,1,2,1,100000000,610000002676,
0.1625,µm,Spine,0,1,1,100000001,610000002679,
0.311476,µm,Spine,0,1,1,100000001,610000002681,
0.207587,µm,Spine,2,1,1,100000001,610000002684,
0.332617,µm,Spine,1,1,1,100000001,610000002686,
0.394331,µm,Spine,14,7,1,100000000,610000002689,
0.242612,µm,Spine,2,2,1,100000001,610000002691,
0.421504,µm,Spine,0,1,1,100000000,610000002697,
0.271292,µm,Spine,1,1,1,100000001,610000002700,
0.744468,µm,Spine,2,2,1,100000002,610000002704,
0.298367,µm,Spine,1,2,1,100000000,610000002710,
