
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.364326,µm,Spine,Spine Part Mean Diameter,14,6,1,100000000,610000002857,
0.370988,µm,Spine,Spine Part Mean Diameter,13,6,1,100000000,610000002858,
0.332326,µm,Spine,Spine Part Mean Diameter,13,6,1,100000000,610000002859,
0.568715,µm,Spine,Spine Part Mean Diameter,12,5,1,100000000,610000002860,
0.256321,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002861,
0.326507,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002862,
0.282608,µm,Spine,Spine Part Mean Diameter,9,3,1,100000000,610000002863,
0.484385,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000002864,
0.344585,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000002865,
0.270921,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000002866,
0.431983,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000002867,
0.213266,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000002868,
0.239774,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000002869,
0.252872,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000002870,
0.224207,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000002871,
0.199112,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000002872,
0.405494,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000002873,
0.239231,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000002878,
0.215468,µm,Spine,Spine Part Mean Diameter,6,5,1,100000001,610000002879,
0.292876,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000002880,
0.272277,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002881,
0.227337,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002882,
0.468652,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002883,
0.413857,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000002888,
0.244823,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000002889,
0.310223,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000002890,
0.257596,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000002891,
0.331994,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002892,
0.288877,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002893,
0.327842,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002894,
0.347753,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002895,
0.409035,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002896,
0.32033,µm,Spine,Spine Part Mean Diameter,8,5,1,100000002,610000002898,
0.307751,µm,Spine,Spine Part Mean Diameter,7,4,1,100000002,610000002899,
0.334043,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002900,
0.368518,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002901,
0.366475,µm,Spine,Spine Part Mean Diameter,4,4,1,100000002,610000002902,
0.237832,µm,Spine,Spine Part Mean Diameter,2,3,1,100000002,610000002903,
0.254205,µm,Spine,Spine Part Mean Diameter,2,3,1,100000002,610000002904,
0.206881,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002908,
