
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
4693.09,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000002532,
4699.52,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002564,
4729.92,µm,Spine,Spine Attachment Pt Position,14,7,1,100000000,610000002586,
4719.84,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000002628,
4732.85,µm,Spine,Spine Attachment Pt Position,9,4,1,100000000,610000002630,
4694.21,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000002636,
4732.16,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000002638,
4693.68,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000002659,
4698.58,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000002691,
4740.5,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000002714,
4726.09,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002727,
4693.72,µm,Spine,Spine Attachment Pt Position,5,3,1,100000001,610000002729,
4734.19,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000002731,
4718.66,µm,Spine,Spine Attachment Pt Position,5,4,1,100000002,610000002745,
4719.77,µm,Spine,Spine Attachment Pt Position,6,6,1,100000002,610000002749,
4734.54,µm,Spine,Spine Attachment Pt Position,6,3,1,100000000,610000002755,
4694.96,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000002777,
4729.81,µm,Spine,Spine Attachment Pt Position,14,6,1,100000000,610000002785,
4715.97,µm,Spine,Spine Attachment Pt Position,8,5,1,100000002,610000002816,
4739.27,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000002825,
4740.86,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000002932,
4701.31,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002932,
4717.26,µm,Spine,Spine Attachment Pt Position,8,5,1,,610000002932,
4737.48,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000002933,
4698.63,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002933,
4720.36,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000002933,
4738.35,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000002934,
4698.55,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002934,
4720.79,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000002934,
4698.88,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000002935,
4720.75,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000002935,
4718.54,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002936,
4733.85,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000002936,
4692.94,µm,Spine,Spine Attachment Pt Position,6,5,1,,610000002936,
4694.02,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002937,
4734.47,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002937,
4695.82,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000002938,
4734.52,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002938,
4716.59,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000002938,
4694.94,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002939,
4734.36,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002939,
4729.98,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002939,
4694.75,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002940,
4733.92,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002940,
4733.12,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000002941,
4692.92,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000002941,
4732.34,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000002942,
4731.72,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000002943,
4731.52,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000002944,
4699.57,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002946,
4730.15,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000002946,
4730.1,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000002947,
4729.42,µm,Spine,Spine Attachment Pt Position,14,6,1,,610000002948,
4729.74,µm,Spine,Spine Attachment Pt Position,14,7,1,,610000002950,
