
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.355882,µm,Spine,Spine Part Length,10,4,1,100000000,610000002522,
0.0773833,µm,Spine,Spine Part Length,2,2,1,100000001,610000002525,
0.154865,µm,Spine,Spine Part Length,1,1,1,100000001,610000002530,
0,µm,Spine,Spine Part Length,4,2,1,100000001,610000002532,
0.377508,µm,Spine,Spine Part Length,1,1,1,100000001,610000002539,
0.235575,µm,Spine,Spine Part Length,2,1,1,100000001,610000002545,
0.160437,µm,Spine,Spine Part Length,1,1,1,100000001,610000002553,
0.121693,µm,Spine,Spine Part Length,2,2,1,100000001,610000002558,
0.238646,µm,Spine,Spine Part Length,0,1,1,100000001,610000002564,
0.204589,µm,Spine,Spine Part Length,2,2,1,100000001,610000002567,
0.105219,µm,Spine,Spine Part Length,6,3,1,100000000,610000002572,
0.216794,µm,Spine,Spine Part Length,2,2,1,100000001,610000002575,
0.312672,µm,Spine,Spine Part Length,1,1,1,100000001,610000002582,
0,µm,Spine,Spine Part Length,14,7,1,100000000,610000002586,
0.213716,µm,Spine,Spine Part Length,6,3,1,100000000,610000002592,
0.181254,µm,Spine,Spine Part Length,2,2,1,100000000,610000002598,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002603,
0.199383,µm,Spine,Spine Part Length,1,1,1,100000001,610000002609,
0.113946,µm,Spine,Spine Part Length,1,1,1,100000001,610000002614,
0.396395,µm,Spine,Spine Part Length,1,2,1,100000000,610000002624,
0.145678,µm,Spine,Spine Part Length,3,2,1,100000002,610000002628,
0,µm,Spine,Spine Part Length,9,4,1,100000000,610000002630,
0.139088,µm,Spine,Spine Part Length,2,2,1,100000002,610000002634,
0,µm,Spine,Spine Part Length,4,2,1,100000001,610000002636,
0,µm,Spine,Spine Part Length,10,4,1,100000000,610000002638,
0.368349,µm,Spine,Spine Part Length,0,1,1,100000000,610000002645,
0.386184,µm,Spine,Spine Part Length,1,2,1,100000000,610000002654,
0.147248,µm,Spine,Spine Part Length,2,2,1,100000000,610000002657,
0,µm,Spine,Spine Part Length,4,2,1,100000001,610000002659,
0.348897,µm,Spine,Spine Part Length,1,2,1,100000000,610000002668,
0.304831,µm,Spine,Spine Part Length,1,2,1,100000000,610000002676,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002679,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002681,
0.171029,µm,Spine,Spine Part Length,2,1,1,100000001,610000002684,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000002686,
0,µm,Spine,Spine Part Length,14,7,1,100000000,610000002689,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000002691,
0.236807,µm,Spine,Spine Part Length,0,1,1,100000000,610000002697,
0.134936,µm,Spine,Spine Part Length,1,1,1,100000001,610000002700,
0.170796,µm,Spine,Spine Part Length,2,2,1,100000002,610000002704,
0.183784,µm,Spine,Spine Part Length,1,2,1,100000000,610000002710,
0.148308,µm,Spine,Spine Part Length,2,2,1,100000000,610000002714,
0.234939,µm,Spine,Spine Part Length,1,2,1,100000000,610000002722,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002725,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002727,
0,µm,Spine,Spine Part Length,5,3,1,100000001,610000002729,
0,µm,Spine,Spine Part Length,5,3,1,100000000,610000002731,
0.122145,µm,Spine,Spine Part Length,1,2,1,100000000,610000002736,
0.108227,µm,Spine,Spine Part Length,2,2,1,100000002,610000002740,
0,µm,Spine,Spine Part Length,4,4,1,100000002,610000002742,
0,µm,Spine,Spine Part Length,5,4,1,100000002,610000002745,
0,µm,Spine,Spine Part Length,6,3,1,100000000,610000002747,
0,µm,Spine,Spine Part Length,6,6,1,100000002,610000002749,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002752,
0.101986,µm,Spine,Spine Part Length,6,3,1,100000000,610000002755,
0.138239,µm,Spine,Spine Part Length,1,2,1,100000000,610000002760,
0,µm,Spine,Spine Part Length,14,7,1,100000000,610000002763,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002767,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002771,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002774,
0,µm,Spine,Spine Part Length,2,1,1,100000001,610000002777,
0,µm,Spine,Spine Part Length,14,6,1,100000000,610000002779,
0.151646,µm,Spine,Spine Part Length,0,1,1,100000000,610000002783,
