
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.24375,µm,Spine,10,4,1,100000000,610000002522,
0.283261,µm,Spine,2,2,1,100000001,610000002525,
0.264062,µm,Spine,1,1,1,100000001,610000002530,
0.220014,µm,Spine,4,2,1,100000001,610000002532,
0.332617,µm,Spine,1,1,1,100000001,610000002539,
0.185462,µm,Spine,2,1,1,100000001,610000002545,
0.235371,µm,Spine,1,1,1,100000001,610000002553,
0.269657,µm,Spine,2,2,1,100000001,610000002558,
0.290791,µm,Spine,0,1,1,100000001,610000002564,
0.242612,µm,Spine,2,2,1,100000001,610000002567,
0.310781,µm,Spine,6,3,1,100000000,610000002572,
0.242612,µm,Spine,2,2,1,100000001,610000002575,
0.235371,µm,Spine,1,1,1,100000001,610000002582,
0.253327,µm,Spine,14,7,1,100000000,610000002586,
0.292019,µm,Spine,6,3,1,100000000,610000002592,
0.1625,µm,Spine,2,2,1,100000000,610000002598,
0,µm,Spine,2,2,1,100000002,610000002603,
0.269502,µm,Spine,1,1,1,100000001,610000002609,
0.338222,µm,Spine,1,1,1,100000001,610000002614,
0.253136,µm,Spine,1,2,1,100000000,610000002624,
0.242882,µm,Spine,3,2,1,100000002,610000002628,
0.284375,µm,Spine,9,4,1,100000000,610000002630,
0,µm,Spine,2,2,1,100000002,610000002634,
0.336426,µm,Spine,4,2,1,100000001,610000002636,
0.359531,µm,Spine,10,4,1,100000000,610000002638,
0.366434,µm,Spine,0,1,1,100000000,610000002645,
0.253136,µm,Spine,1,2,1,100000000,610000002654,
0.238374,µm,Spine,2,2,1,100000000,610000002657,
0.213694,µm,Spine,4,2,1,100000001,610000002659,
0.253136,µm,Spine,1,2,1,100000000,610000002668,
0.244714,µm,Spine,1,2,1,100000000,610000002676,
0,µm,Spine,0,1,1,100000001,610000002679,
0,µm,Spine,0,1,1,100000001,610000002681,
0.235145,µm,Spine,2,1,1,100000001,610000002684,
0.530029,µm,Spine,1,1,1,100000001,610000002686,
0,µm,Spine,14,7,1,100000000,610000002689,
0.272013,µm,Spine,2,2,1,100000001,610000002691,
0.366434,µm,Spine,0,1,1,100000000,610000002697,
0.69861,µm,Spine,1,1,1,100000001,610000002700,
0,µm,Spine,2,2,1,100000002,610000002704,
0.245259,µm,Spine,1,2,1,100000000,610000002710,
0.1625,µm,Spine,2,2,1,100000000,610000002714,
0.253136,µm,Spine,1,2,1,100000000,610000002722,
0,µm,Spine,2,2,1,100000002,610000002725,
0.272935,µm,Spine,0,1,1,100000002,610000002727,
0.1625,µm,Spine,5,3,1,100000001,610000002729,
0.294238,µm,Spine,5,3,1,100000000,610000002731,
0.245259,µm,Spine,1,2,1,100000000,610000002736,
0,µm,Spine,2,2,1,100000002,610000002740,
0.387531,µm,Spine,4,4,1,100000002,610000002742,
0.4875,µm,Spine,5,4,1,100000002,610000002745,
0.216842,µm,Spine,6,3,1,100000000,610000002747,
0,µm,Spine,6,6,1,100000002,610000002749,
0,µm,Spine,0,1,1,100000001,610000002752,
0.347722,µm,Spine,6,3,1,100000000,610000002755,
0.245259,µm,Spine,1,2,1,100000000,610000002760,
0,µm,Spine,14,7,1,100000000,610000002763,
0.563735,µm,Spine,0,1,1,100000000,610000002767,
0,µm,Spine,2,2,1,100000002,610000002771,
0,µm,Spine,2,2,1,100000002,610000002774,
0.472295,µm,Spine,2,1,1,100000001,610000002777,
0.345239,µm,Spine,14,6,1,100000000,610000002779,
0.46756,µm,Spine,0,1,1,100000000,610000002783,
0.331433,µm,Spine,14,6,1,100000000,610000002785,
0,µm,Spine,2,2,1,100000002,610000002791,
0,µm,Spine,0,1,1,100000000,610000002793,
0.245259,µm,Spine,1,2,1,100000000,610000002797,
0,µm,Spine,2,2,1,100000002,610000002800,
0,µm,Spine,2,2,1,100000002,610000002807,
0,µm,Spine,2,2,1,100000002,610000002810,
0,µm,Spine,0,1,1,100000000,610000002812,
0.297366,µm,Spine,8,5,1,100000002,610000002816,
0.354546,µm,Spine,0,1,1,100000001,610000002818,
0.273475,µm,Spine,1,2,1,100000000,610000002825,
0,µm,Spine,14,7,1,100000000,610000002855,
0,µm,Spine,14,6,1,100000000,610000002856,
0,µm,Spine,14,6,1,100000000,610000002857,
